Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2023-8-14 11:56:9.254	-0.0518	-0.0225	1.0469	0.0	0.0	0.0	2.379	-9.388	-77.157	35.13	-953	430	-74	None	None	None	None	0.78	-0.03485	-0.07687	-0.62003
 2023-8-14 11:56:9.254	-0.0518	-0.0225	1.0469	0.0	0.0	0.0	2.379	-9.388	-77.157	35.13	-953	430	-74	None	None	None	None	0.78	-0.03485	-0.07687	-0.62003
 2023-8-14 11:56:9.256	-0.0518	-0.0225	1.0469	0.0	0.0	0.0	2.379	-9.388	-77.151	35.13	-953	430	-74	None	None	None	None	0.78	-0.03485	-0.07687	-0.62003
 2023-8-14 11:56:9.256	-0.0518	-0.0225	1.0469	0.0	0.0	0.0	2.379	-9.388	-77.151	35.13	-953	430	-74	None	None	None	None	0.78	-0.03485	-0.07687	-0.62003
 2023-8-14 11:56:9.258	-0.0518	-0.0225	1.0469	0.0	0.0	0.0	2.379	-9.388	-77.151	35.05	-953	430	-75	None	None	None	None	0.78	-0.03485	-0.07687	-0.62003
 2023-8-14 11:56:9.258	-0.0518	-0.0225	1.0469	0.0	0.0	0.0	2.379	-9.388	-77.151	35.05	-953	430	-75	None	None	None	None	0.78003	-0.03485	-0.07687	-0.62
 2023-8-14 11:56:9.260	-0.0518	-0.0225	1.0469	0.0	0.0	0.0	2.379	-9.388	-77.151	35.05	-953	430	-75	None	None	None	None	0.78003	-0.03485	-0.07687	-0.62
 2023-8-14 11:56:9.260	-0.0518	-0.0225	1.0469	0.0	0.0	0.0	2.379	-9.388	-77.151	35.05	-953	430	-75	None	None	None	None	0.78003	-0.03485	-0.07687	-0.62
 2023-8-14 11:56:9.262	-0.0518	-0.0225	1.0469	0.0	0.0	0.0	2.379	-9.388	-77.151	35.05	-953	430	-75	None	None	None	None	0.78003	-0.03485	-0.07687	-0.62
 2023-8-14 11:56:9.262	-0.0518	-0.0225	1.0469	0.0	0.0	0.0	2.379	-9.388	-77.151	35.05	-953	430	-75	None	None	None	None	0.78003	-0.03485	-0.07687	-0.62
 2023-8-14 11:56:9.264	-0.0518	-0.0225	1.0469	0.0	0.0	0.0	2.379	-9.388	-77.146	35.05	-952	429	-76	None	None	None	None	0.78003	-0.03485	-0.07687	-0.62
 2023-8-14 11:56:9.264	-0.0518	-0.0225	1.0469	0.0	0.0	0.0	2.379	-9.388	-77.146	35.05	-952	429	-76	None	None	None	None	0.78003	-0.03485	-0.07687	-0.61996
 2023-8-14 11:56:9.266	-0.0518	-0.0225	1.0469	0.0	0.0	0.0	2.373	-9.388	-77.146	35.05	-952	429	-77	None	None	None	None	0.78003	-0.03485	-0.07687	-0.61996
 2023-8-14 11:56:9.266	-0.0518	-0.0225	1.0469	0.0	0.0	0.0	2.373	-9.388	-77.146	35.05	-952	429	-77	None	None	None	None	0.78006	-0.03485	-0.07687	-0.61996
