Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2023-8-14 12:22:5.212	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.19	-51	-386	475	None	None	None	None	-0.07025	0.10498	-0.09036	-0.98785
 2023-8-14 12:22:5.212	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.19	-51	-386	475	None	None	None	None	-0.07025	0.10498	-0.09036	-0.98785
 2023-8-14 12:22:5.214	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.19	-51	-386	476	None	None	None	None	-0.07025	0.10498	-0.09036	-0.98785
 2023-8-14 12:22:5.214	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.19	-51	-386	476	None	None	None	None	-0.07025	0.10498	-0.09036	-0.98785
 2023-8-14 12:22:5.216	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.19	-50	-386	476	None	None	None	None	-0.07025	0.10498	-0.09036	-0.98785
 2023-8-14 12:22:5.216	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.19	-50	-386	476	None	None	None	None	-0.07025	0.10498	-0.09036	-0.98785
 2023-8-14 12:22:5.218	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.19	-49	-386	476	None	None	None	None	-0.07025	0.10498	-0.09036	-0.98785
 2023-8-14 12:22:5.218	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.19	-49	-386	476	None	None	None	None	-0.07025	0.10498	-0.09036	-0.98785
 2023-8-14 12:22:5.220	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.19	-49	-387	475	None	None	None	None	-0.07025	0.10498	-0.09036	-0.98785
 2023-8-14 12:22:5.220	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.19	-49	-387	475	None	None	None	None	-0.07025	0.10498	-0.09039	-0.98785
 2023-8-14 12:22:5.222	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.19	-49	-387	474	None	None	None	None	-0.07025	0.10498	-0.09039	-0.98785
 2023-8-14 12:22:5.222	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.19	-49	-387	474	None	None	None	None	-0.07025	0.10498	-0.09039	-0.98785
 2023-8-14 12:22:5.224	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.24	-49	-388	474	None	None	None	None	-0.07025	0.10498	-0.09039	-0.98785
 2023-8-14 12:22:5.224	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.24	-49	-388	474	None	None	None	None	-0.07025	0.10501	-0.09039	-0.98785
 2023-8-14 12:22:5.226	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.24	-48	-388	473	None	None	None	None	-0.07025	0.10501	-0.09039	-0.98785
 2023-8-14 12:22:5.226	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.24	-48	-388	473	None	None	None	None	-0.07025	0.10501	-0.09039	-0.98785
 2023-8-14 12:22:5.228	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.24	-48	-389	473	None	None	None	None	-0.07025	0.10501	-0.09039	-0.98785
 2023-8-14 12:22:5.228	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.24	-48	-389	473	None	None	None	None	-0.07025	0.10501	-0.09039	-0.98785
 2023-8-14 12:22:5.230	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.24	-48	-389	472	None	None	None	None	-0.07025	0.10501	-0.09039	-0.98785
 2023-8-14 12:22:5.230	-0.0913	-0.0107	1.0464	0.0	0.0	0.0	9.668	12.717	172.941	36.24	-48	-389	472	None	None	None	None	-0.07025	0.10501	-0.09039	-0.98785
