Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2023-8-14 12:19:4.784	-0.0898	-0.0112	1.0469	0.0	0.0	0.0	9.998	12.299	175.364	35.99	-71	-392	470	None	None	None	None	-0.04935	0.10315	-0.09085	-0.98926
 2023-8-14 12:19:4.784	-0.0898	-0.0112	1.0469	0.0	0.0	0.0	9.998	12.299	175.364	35.99	-71	-392	470	None	None	None	None	-0.04935	0.10315	-0.09085	-0.98926
 2023-8-14 12:19:4.786	-0.0898	-0.0112	1.0469	0.0	0.0	0.0	9.998	12.299	175.364	35.99	-71	-393	471	None	None	None	None	-0.04935	0.10315	-0.09085	-0.98926
 2023-8-14 12:19:4.786	-0.0898	-0.0112	1.0469	0.0	0.0	0.0	9.998	12.299	175.364	35.99	-71	-393	471	None	None	None	None	-0.04935	0.10315	-0.09085	-0.98926
 2023-8-14 12:19:4.788	-0.0898	-0.0112	1.0469	0.0	0.0	0.0	9.998	12.299	175.364	35.99	-70	-393	471	None	None	None	None	-0.04935	0.10315	-0.09085	-0.98926
 2023-8-14 12:19:4.788	-0.0898	-0.0112	1.0469	0.0	0.0	0.0	9.998	12.299	175.364	35.99	-70	-393	471	None	None	None	None	-0.04935	0.10315	-0.09085	-0.98926
 2023-8-14 12:19:4.790	-0.0898	-0.0112	1.0469	0.0	0.0	0.0	9.998	12.299	175.369	35.99	-70	-393	472	None	None	None	None	-0.04935	0.10315	-0.09085	-0.98926
 2023-8-14 12:19:4.790	-0.0898	-0.0112	1.0469	0.0	0.0	0.0	9.998	12.299	175.369	35.99	-70	-393	472	None	None	None	None	-0.04932	0.10315	-0.09085	-0.98926
 2023-8-14 12:19:4.792	-0.0898	-0.0112	1.0469	0.0	0.0	0.0	9.998	12.299	175.369	35.99	-70	-393	472	None	None	None	None	-0.04932	0.10315	-0.09085	-0.98926
 2023-8-14 12:19:4.792	-0.0898	-0.0112	1.0469	0.0	0.0	0.0	9.998	12.299	175.369	35.99	-70	-393	472	None	None	None	None	-0.04932	0.10315	-0.09085	-0.98926
