Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2023-8-14 10:37:9.446	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.567	37.79	458	-490	-574	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.446	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.567	37.79	458	-490	-574	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.448	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.567	37.79	458	-490	-573	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.448	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.567	37.79	458	-490	-573	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.450	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.567	37.76	458	-490	-572	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.450	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.567	37.76	458	-490	-572	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.452	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.567	37.76	458	-490	-571	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.452	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.567	37.76	458	-490	-571	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.454	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.567	37.76	458	-491	-571	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.454	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.567	37.76	458	-491	-571	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.456	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.567	37.76	458	-491	-570	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.456	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.567	37.76	458	-491	-570	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.458	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.76	458	-491	-570	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.458	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.76	458	-491	-570	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.460	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.76	458	-490	-571	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.460	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.76	458	-490	-571	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.462	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.8	458	-490	-571	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.462	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.8	458	-490	-571	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.464	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.8	458	-490	-572	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.464	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.8	458	-490	-572	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.466	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.8	458	-490	-572	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.466	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.8	458	-490	-572	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.468	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.8	458	-490	-572	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.468	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.8	458	-490	-572	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.470	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.8	458	-490	-573	None	None	None	None	-0.41644	0.12787	-0.08521	-0.89606
 2023-8-14 10:37:9.470	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.8	458	-490	-573	None	None	None	None	-0.41644	0.12787	-0.08524	-0.89606
 2023-8-14 10:37:9.472	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.75	458	-489	-573	None	None	None	None	-0.41644	0.12787	-0.08524	-0.89606
 2023-8-14 10:37:9.472	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.75	458	-489	-573	None	None	None	None	-0.41644	0.12787	-0.08524	-0.89606
 2023-8-14 10:37:9.474	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.75	458	-489	-574	None	None	None	None	-0.41644	0.12787	-0.08524	-0.89606
 2023-8-14 10:37:9.474	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.75	458	-489	-574	None	None	None	None	-0.41644	0.12787	-0.08524	-0.89606
 2023-8-14 10:37:9.476	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.75	459	-489	-574	None	None	None	None	-0.41644	0.12787	-0.08524	-0.89606
 2023-8-14 10:37:9.476	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.75	459	-489	-574	None	None	None	None	-0.41644	0.12787	-0.08524	-0.89606
 2023-8-14 10:37:9.478	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.75	459	-489	-575	None	None	None	None	-0.41644	0.12787	-0.08524	-0.89606
 2023-8-14 10:37:9.478	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.75	459	-489	-575	None	None	None	None	-0.41644	0.12787	-0.08524	-0.89606
 2023-8-14 10:37:9.480	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.75	459	-489	-575	None	None	None	None	-0.41644	0.12787	-0.08524	-0.89606
 2023-8-14 10:37:9.480	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.75	459	-489	-575	None	None	None	None	-0.41644	0.12787	-0.08524	-0.89606
 2023-8-14 10:37:9.482	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.75	458	-487	-575	None	None	None	None	-0.41644	0.12787	-0.08524	-0.89606
 2023-8-14 10:37:9.482	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.75	458	-487	-575	None	None	None	None	-0.41644	0.12787	-0.08524	-0.89606
 2023-8-14 10:37:9.484	-0.0908	0.0059	1.0469	0.0	0.0	0.0	2.774	17.463	130.573	37.72	458	-486	-576	None	None	None	None	-0.41644	0.12787	-0.08524	-0.89606
