Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2023-8-14 11:2:51.712	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.025	37.29	527	-425	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.712	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.025	37.29	527	-425	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.714	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.29	528	-426	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.714	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.29	528	-426	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.716	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.29	528	-426	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.716	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.29	528	-426	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.718	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.29	529	-426	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.718	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.29	529	-426	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.720	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.29	529	-426	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.720	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.29	529	-426	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.722	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.33	530	-426	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.722	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.33	530	-426	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.724	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.33	530	-427	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.724	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.33	530	-427	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.726	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.33	530	-429	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.726	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.33	530	-429	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.728	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.33	530	-430	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.728	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.33	530	-430	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.730	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.33	531	-431	-563	None	None	None	None	-0.48785	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.730	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.33	531	-431	-563	None	None	None	None	-0.48782	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.732	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.33	531	-432	-563	None	None	None	None	-0.48782	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.732	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.33	531	-432	-563	None	None	None	None	-0.48782	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.734	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.26	531	-433	-563	None	None	None	None	-0.48782	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.734	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.26	531	-433	-563	None	None	None	None	-0.48782	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.736	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.26	531	-434	-563	None	None	None	None	-0.48782	0.12909	-0.08719	-0.85889
 2023-8-14 11:2:51.736	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.26	531	-434	-563	None	None	None	None	-0.48782	0.12909	-0.08719	-0.85892
 2023-8-14 11:2:51.738	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.26	531	-433	-563	None	None	None	None	-0.48782	0.12909	-0.08719	-0.85892
 2023-8-14 11:2:51.738	-0.0933	0.02	1.0464	0.0	0.0	0.0	1.434	17.869	121.031	37.26	531	-433	-563	None	None	None	None	-0.48782	0.12909	-0.08719	-0.85892
