Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2023-8-14 12:15:2.652	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.044	35.86	-88	-394	522	None	None	None	None	-0.02621	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.652	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.044	35.86	-88	-394	522	None	None	None	None	-0.02621	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.654	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.044	35.86	-88	-393	522	None	None	None	None	-0.02621	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.654	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.044	35.86	-88	-393	522	None	None	None	None	-0.02621	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.656	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.044	35.86	-88	-393	522	None	None	None	None	-0.02621	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.656	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.044	35.86	-88	-393	522	None	None	None	None	-0.02621	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.658	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.044	35.86	-89	-393	523	None	None	None	None	-0.02621	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.658	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.044	35.86	-89	-393	523	None	None	None	None	-0.02621	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.660	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.044	35.83	-89	-392	523	None	None	None	None	-0.02621	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.660	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.044	35.83	-89	-392	523	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.662	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.044	35.83	-89	-392	524	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.662	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.044	35.83	-89	-392	524	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.664	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.044	35.83	-89	-392	524	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.664	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.044	35.83	-89	-392	524	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.666	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.039	35.83	-89	-392	525	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.666	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.039	35.83	-89	-392	525	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.668	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.039	35.83	-89	-392	526	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.668	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.039	35.83	-89	-392	526	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.670	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.039	35.83	-89	-392	527	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.670	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.039	35.83	-89	-392	527	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.672	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.039	35.82	-90	-392	528	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.672	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.039	35.82	-90	-392	528	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.674	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.039	35.82	-90	-392	529	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.674	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.039	35.82	-90	-392	529	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.676	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.039	35.82	-90	-392	530	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.676	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.039	35.82	-90	-392	530	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
 2023-8-14 12:15:2.678	-0.0928	-0.0107	1.0464	0.0	0.0	0.0	10.333	11.909	178.039	35.82	-89	-392	530	None	None	None	None	-0.02625	0.10181	-0.09134	-0.99023
