Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2023-8-14 11:7:41.652	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.52	-6.537	-94.499	36.82	-1096	101	-79	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72971
 2023-8-14 11:7:41.652	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.52	-6.537	-94.499	36.82	-1096	101	-79	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.654	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.52	-6.537	-94.499	36.82	-1095	101	-79	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.654	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.52	-6.537	-94.499	36.82	-1095	101	-79	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.656	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.52	-6.537	-94.499	36.82	-1094	101	-79	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.656	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.52	-6.537	-94.499	36.82	-1094	101	-79	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.658	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.52	-6.537	-94.499	36.82	-1094	102	-79	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.658	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.52	-6.537	-94.499	36.82	-1094	102	-79	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.660	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.52	-6.537	-94.499	36.82	-1094	102	-79	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.660	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.52	-6.537	-94.499	36.82	-1094	102	-79	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.662	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.52	-6.537	-94.499	36.76	-1093	102	-79	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.662	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.52	-6.537	-94.499	36.76	-1093	102	-79	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.664	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.52	-6.537	-94.499	36.76	-1093	102	-79	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.664	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.52	-6.537	-94.499	36.76	-1093	102	-79	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.666	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.499	36.76	-1093	102	-79	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.666	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.499	36.76	-1093	102	-79	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.668	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.499	36.76	-1093	102	-80	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.668	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.499	36.76	-1093	102	-80	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.670	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.499	36.76	-1093	102	-80	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.670	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.499	36.76	-1093	102	-80	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.672	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.76	-1093	102	-81	None	None	None	None	0.67896	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.672	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.76	-1093	102	-81	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.674	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.77	-1093	102	-81	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.674	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.77	-1093	102	-81	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.676	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.77	-1093	102	-82	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.676	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.77	-1093	102	-82	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.678	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.77	-1094	102	-81	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72974
 2023-8-14 11:7:41.678	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.77	-1094	102	-81	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.680	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.77	-1094	102	-79	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.680	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.77	-1094	102	-79	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.682	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.77	-1094	102	-78	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.682	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.77	-1094	102	-78	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.684	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.77	-1095	102	-78	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.684	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.77	-1095	102	-78	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.686	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1095	102	-77	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.686	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1095	102	-77	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.688	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1095	103	-76	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.688	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1095	103	-76	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.690	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1095	103	-77	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.690	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1095	103	-77	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.692	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1094	103	-77	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.692	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1094	103	-77	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.694	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1094	103	-78	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.694	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1094	103	-78	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.696	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1094	104	-79	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.696	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1094	104	-79	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.698	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1094	104	-79	None	None	None	None	0.67892	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.698	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1094	104	-79	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.700	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1093	104	-80	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.700	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1093	104	-80	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.702	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1093	104	-80	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.702	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1093	104	-80	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.704	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1093	104	-80	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.704	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.504	36.82	-1093	104	-80	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.706	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.82	-1093	105	-80	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.706	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.82	-1093	105	-80	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.708	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.77	-1093	105	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.708	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.77	-1093	105	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.710	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.77	-1092	105	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.710	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.77	-1092	105	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.712	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.77	-1092	105	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.712	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.77	-1092	105	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.714	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.77	-1092	105	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.714	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.77	-1092	105	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.716	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.77	-1092	106	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.716	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.77	-1092	106	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.7298
 2023-8-14 11:7:41.718	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.77	-1092	107	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.7298
 2023-8-14 11:7:41.718	-0.0747	-0.0103	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.77	-1092	107	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.7298
 2023-8-14 11:7:41.720	-0.0747	-0.0107	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.79	-1092	107	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.7298
 2023-8-14 11:7:41.720	-0.0747	-0.0107	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.79	-1092	107	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.7298
 2023-8-14 11:7:41.722	-0.0747	-0.0107	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.79	-1091	108	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.7298
 2023-8-14 11:7:41.722	-0.0747	-0.0107	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.79	-1091	108	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.7298
 2023-8-14 11:7:41.724	-0.0747	-0.0107	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.79	-1091	108	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.7298
 2023-8-14 11:7:41.724	-0.0747	-0.0107	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.79	-1091	108	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.7298
 2023-8-14 11:7:41.726	-0.0747	-0.0107	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.79	-1091	109	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.7298
 2023-8-14 11:7:41.726	-0.0747	-0.0107	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.79	-1091	109	-81	None	None	None	None	0.67889	-0.00323	-0.08038	-0.7298
 2023-8-14 11:7:41.728	-0.0747	-0.0107	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.79	-1091	110	-80	None	None	None	None	0.67889	-0.00323	-0.08038	-0.7298
 2023-8-14 11:7:41.728	-0.0747	-0.0107	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.79	-1091	110	-80	None	None	None	None	0.67889	-0.00323	-0.08038	-0.7298
 2023-8-14 11:7:41.730	-0.0747	-0.0107	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.79	-1092	111	-80	None	None	None	None	0.67889	-0.00323	-0.08038	-0.7298
 2023-8-14 11:7:41.730	-0.0747	-0.0107	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.79	-1092	111	-80	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.732	-0.0747	-0.0107	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.79	-1092	111	-79	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.732	-0.0747	-0.0107	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.79	-1092	111	-79	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
 2023-8-14 11:7:41.734	-0.0747	-0.0107	1.0474	0.0	0.0	0.0	6.526	-6.537	-94.51	36.79	-1092	112	-79	None	None	None	None	0.67889	-0.00323	-0.08038	-0.72977
