Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2023-8-14 11:1:43.342	-0.0933	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.25	523	-432	-570	None	None	None	None	-0.47879	0.12872	-0.08765	-0.86398
 2023-8-14 11:1:43.344	-0.0933	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	524	-432	-570	None	None	None	None	-0.47879	0.12872	-0.08765	-0.86398
 2023-8-14 11:1:43.344	-0.0933	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	524	-432	-570	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86398
 2023-8-14 11:1:43.346	-0.0933	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	524	-432	-569	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86398
 2023-8-14 11:1:43.346	-0.0933	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	524	-432	-569	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.348	-0.0933	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	524	-433	-570	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.348	-0.0933	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	524	-433	-570	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.350	-0.0933	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	525	-434	-571	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.350	-0.0933	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	525	-434	-571	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.352	-0.0933	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	525	-435	-572	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.352	-0.0933	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	525	-435	-572	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.354	-0.0933	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	525	-436	-573	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.354	-0.0933	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	525	-436	-573	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.356	-0.0933	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	525	-436	-573	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.356	-0.0933	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	525	-436	-573	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.358	-0.0933	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	525	-437	-574	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.358	-0.0933	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	525	-437	-574	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.360	-0.0938	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	525	-437	-575	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.360	-0.0938	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	525	-437	-575	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.362	-0.0938	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	524	-437	-574	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.362	-0.0938	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	524	-437	-574	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.364	-0.0938	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	523	-437	-574	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.364	-0.0938	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.31	523	-437	-574	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.366	-0.0938	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.26	522	-437	-574	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.366	-0.0938	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.26	522	-437	-574	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.368	-0.0938	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.26	521	-437	-574	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.368	-0.0938	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.26	521	-437	-574	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.370	-0.0938	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.26	521	-437	-573	None	None	None	None	-0.47882	0.12872	-0.08765	-0.86395
 2023-8-14 11:1:43.370	-0.0938	0.0195	1.0469	0.0	0.0	0.0	1.697	17.842	122.272	37.26	521	-437	-573	None	None	None	None	-0.47879	0.12872	-0.08765	-0.86398
