Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2023-8-14 11:50:40.488	-0.0552	0.0039	1.0469	0.0	0.0	0.0	-4.427	-8.888	-38.93	35.53	-179	292	725	None	None	None	None	0.93829	-0.06213	-0.06018	-0.33481
 2023-8-14 11:50:40.490	-0.0552	0.0039	1.0469	0.0	0.0	0.0	-4.427	-8.888	-38.925	35.53	-179	292	726	None	None	None	None	0.93829	-0.06213	-0.06018	-0.33481
 2023-8-14 11:50:40.490	-0.0552	0.0039	1.0469	0.0	0.0	0.0	-4.427	-8.888	-38.925	35.53	-179	292	726	None	None	None	None	0.93829	-0.06213	-0.06018	-0.33478
 2023-8-14 11:50:40.492	-0.0552	0.0039	1.0469	0.0	0.0	0.0	-4.427	-8.888	-38.925	35.53	-178	292	727	None	None	None	None	0.93829	-0.06213	-0.06018	-0.33478
 2023-8-14 11:50:40.492	-0.0552	0.0039	1.0469	0.0	0.0	0.0	-4.427	-8.888	-38.925	35.53	-178	292	727	None	None	None	None	0.93829	-0.06213	-0.06018	-0.33475
 2023-8-14 11:50:40.494	-0.0552	0.0039	1.0469	0.0	0.0	0.0	-4.427	-8.888	-38.919	35.53	-178	292	727	None	None	None	None	0.93829	-0.06213	-0.06018	-0.33475
 2023-8-14 11:50:40.494	-0.0552	0.0039	1.0469	0.0	0.0	0.0	-4.427	-8.888	-38.919	35.53	-178	292	727	None	None	None	None	0.93832	-0.06213	-0.06015	-0.33472
 2023-8-14 11:50:40.496	-0.0552	0.0039	1.0469	0.0	0.0	0.0	-4.433	-8.888	-38.914	35.53	-178	292	728	None	None	None	None	0.93832	-0.06213	-0.06015	-0.33472
 2023-8-14 11:50:40.496	-0.0552	0.0039	1.0469	0.0	0.0	0.0	-4.433	-8.888	-38.914	35.53	-178	292	728	None	None	None	None	0.93832	-0.06213	-0.06015	-0.33469
 2023-8-14 11:50:40.498	-0.0552	0.0039	1.0469	0.0	0.0	0.0	-4.433	-8.888	-38.908	35.45	-178	291	728	None	None	None	None	0.93832	-0.06213	-0.06015	-0.33469
