Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2023-8-14 11:7:30.380	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.696	36.78	-1087	80	-7	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.380	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.696	36.78	-1087	80	-7	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.382	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.696	36.78	-1087	80	-7	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.382	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.696	36.78	-1087	80	-7	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.384	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.696	36.78	-1087	80	-7	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.384	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.696	36.78	-1087	80	-7	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.386	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.696	36.78	-1087	81	-8	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.386	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.696	36.78	-1087	81	-8	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.388	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.696	36.79	-1087	81	-8	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.388	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.696	36.79	-1087	81	-8	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.390	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.696	36.79	-1087	81	-9	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.390	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.696	36.79	-1087	81	-9	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.392	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.696	36.79	-1087	81	-9	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.392	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.696	36.79	-1087	81	-9	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.394	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.79	-1087	81	-9	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.394	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.79	-1087	81	-9	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.396	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.79	-1087	81	-10	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.396	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.79	-1087	81	-10	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.398	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.79	-1088	82	-9	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.398	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.79	-1088	82	-9	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.400	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.74	-1089	83	-8	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.400	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.74	-1089	83	-8	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.402	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.74	-1090	83	-8	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.402	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.74	-1090	83	-8	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.404	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.74	-1090	84	-7	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.404	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.74	-1090	84	-7	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.406	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.74	-1091	84	-7	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.406	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.74	-1091	84	-7	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.408	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.74	-1092	85	-6	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.408	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.74	-1092	85	-6	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.410	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.77	-1092	85	-6	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.410	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.77	-1092	85	-6	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.412	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.77	-1092	85	-6	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.412	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.702	36.77	-1092	85	-6	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.414	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.696	36.77	-1092	85	-6	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.414	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.696	36.77	-1092	85	-6	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
 2023-8-14 11:7:30.416	-0.0767	-0.0186	1.0474	0.0	0.0	0.0	6.317	-6.273	-95.696	36.77	-1093	85	-6	None	None	None	None	0.67126	-0.00357	-0.07745	-0.73712
