Seq, Rot x, Rot y, Rot z, Vel x, Vel y, Vel z, Acc x, Acc y, Acc z, Time(m.d.y h:m:s.ms)
0, 1.66282, 0.0944496, -4.58436, 0.000976562, -0.00195312, 0, 0.015625, 0.286133, -9.85254, 10.6.2021 13:37:45.620
1, 1.66282, 0.0944496, -4.58436, 0.000976562, -0.00195312, 0, 0.000976562, 0.296875, -9.86816, 10.6.2021 13:37:45.628
2, 1.66282, 0.0944496, -4.58436, 0.000976562, -0.00195312, -0.000976562, 0.00195312, 0.271484, -9.84375, 10.6.2021 13:37:45.636
3, 1.66282, 0.0944496, -4.58436, 0, -0.000976562, -0.000976562, 0.0322266, 0.295898, -9.85254, 10.6.2021 13:37:45.644
4, 1.66282, 0.0944496, -4.58436, 0.000976562, -0.00195312, 0, 0.0224609, 0.295898, -9.84473, 10.6.2021 13:37:45.652
5, 1.66282, 0.0944496, -4.58436, 0, -0.00195312, 0, 0.0439453, 0.291016, -9.85059, 10.6.2021 13:37:45.660
6, 1.66282, 0.0944496, -4.58436, 0.000976562, -0.000976562, -0.000976562, 0.00585938, 0.291016, -9.84277, 10.6.2021 13:37:45.668
7, 1.66282, 0.0944496, -4.58436, 0, -0.000976562, -0.000976562, 0.0185547, 0.274414, -9.84082, 10.6.2021 13:37:45.676
8, 1.66282, 0.0944496, -4.58436, 0, -0.00195312, -0.000976562, 0.0410156, 0.260742, -9.79883, 10.6.2021 13:37:45.684
9, 1.66282, 0.0944496, -4.58436, 0, -0.000976562, 0, 0.0253906, 0.316406, -9.81348, 10.6.2021 13:37:45.692
10, 1.66282, 0.0944496, -4.58436, 0.000976562, -0.00195312, -0.00195312, -0.000976562, 0.290039, -9.82129, 10.6.2021 13:37:45.700
11, 1.66282, 0.0944496, -4.58436, 0.000976562, -0.000976562, -0.00195312, 0.0283203, 0.291992, -9.79492, 10.6.2021 13:37:45.708
12, 1.65584, 0.0947292, -4.58437, 0.000976562, -0.000976562, -0.000976562, 0.00195312, 0.296875, -9.82129, 10.6.2021 13:37:45.716
13, 1.65584, 0.0947292, -4.58437, 0, -0.00195312, -0.000976562, 0.0224609, 0.332031, -9.83887, 10.6.2021 13:37:45.724
14, 1.65556, 0.0877415, -4.58427, 0.000976562, -0.00195312, -0.000976562, 0.0205078, 0.304688, -9.82129, 10.6.2021 13:37:45.732
15, 1.65556, 0.0877415, -4.58427, 0.000976562, -0.000976562, -0.000976562, 0.00390625, 0.27832, -9.83398, 10.6.2021 13:37:45.740
