Seq, Rot x, Rot y, Rot z, Vel x, Vel y, Vel z, Acc x, Acc y, Acc z, Time(m.d.y h:m:s.ms)
0, 1.96022, 0.348447, 265.191, -0.000976562, 0, 0, -0.0595703, 0.334961, -9.77051, 1.12.2022 20:28:12.448
1, 1.96022, 0.348447, 265.191, -0.000976562, 0, 0, -0.0527344, 0.297852, -9.75, 1.12.2022 20:28:12.456
2, 1.96022, 0.348447, 265.191, -0.00292969, 0, 0, -0.0761719, 0.302734, -9.75195, 1.12.2022 20:28:12.464
3, 1.96022, 0.348447, 265.191, 0, 0, -0.000976562, -0.0390625, 0.275391, -9.7793, 1.12.2022 20:28:12.472
4, 1.96022, 0.348447, 265.191, -0.000976562, 0.00195312, -0.000976562, -0.0917969, 0.297852, -9.80664, 1.12.2022 20:28:12.480
5, 1.96495, 0.343299, 265.191, -0.00292969, 0.00195312, 0, -0.0673828, 0.305664, -9.77832, 1.12.2022 20:28:12.488
6, 1.96495, 0.343299, 265.191, -0.00292969, 0.00195312, 0, -0.0390625, 0.285156, -9.79785, 1.12.2022 20:28:12.496
7, 1.96495, 0.343299, 265.191, -0.00292969, 0.00195312, 0, -0.119141, 0.300781, -9.75684, 1.12.2022 20:28:12.504
8, 1.96495, 0.343299, 265.191, -0.000976562, 0.00292969, 0, -0.0146484, 0.289062, -9.78223, 1.12.2022 20:28:12.512
9, 1.96495, 0.343299, 265.191, -0.000976562, 0.00195312, 0, -0.0361328, 0.298828, -9.78125, 1.12.2022 20:28:12.520
10, 1.96495, 0.343299, 265.191, -0.000976562, 0.00195312, 0, -0.12207, 0.330078, -9.78613, 1.12.2022 20:28:12.528
11, 1.96968, 0.338152, 265.192, -0.000976562, 0.00195312, 0, -0.0078125, 0.305664, -9.78418, 1.12.2022 20:28:12.536
12, 1.96968, 0.338152, 265.192, -0.000976562, 0.00195312, 0, -0.0673828, 0.316406, -9.79492, 1.12.2022 20:28:12.544
13, 1.96943, 0.338086, 265.192, -0.000976562, 0.00195312, 0.000976562, -0.0429688, 0.303711, -9.76953, 1.12.2022 20:28:12.552
14, 1.96943, 0.338086, 265.192, -0.000976562, 0.00195312, 0, -0.0322266, 0.282227, -9.79883, 1.12.2022 20:28:12.560
15, 1.96943, 0.338086, 265.192, -0.000976562, 0.00195312, 0, -0.119141, 0.308594, -9.76562, 1.12.2022 20:28:12.568
16, 1.96943, 0.338086, 265.192, -0.00292969, 0.00195312, 0, -0.0283203, 0.306641, -9.72461, 1.12.2022 20:28:12.576
17, 1.96943, 0.338086, 265.192, -0.00292969, 0, 0, -0.0488281, 0.27832, -9.80566, 1.12.2022 20:28:12.584
18, 1.97416, 0.332938, 265.192, -0.00292969, 0.00195312, 0, -0.0693359, 0.313477, -9.78711, 1.12.2022 20:28:12.592
19, 1.97416, 0.332938, 265.192, -0.00292969, 0, 0, -0.0332031, 0.322266, -9.75977, 1.12.2022 20:28:12.600
20, 1.97416, 0.332938, 265.192, -0.000976562, 0, 0, -0.100586, 0.349609, -9.78613, 1.12.2022 20:28:12.608
21, 1.97416, 0.332938, 265.192, -0.000976562, 0, 0.000976562, -0.0576172, 0.322266, -9.76367, 1.12.2022 20:28:12.616
22, 1.97416, 0.332938, 265.192, -0.00195312, 0, 0.000976562, -0.0576172, 0.292969, -9.75098, 1.12.2022 20:28:12.624
23, 1.97416, 0.332938, 265.192, -0.000976562, 0, 0, -0.107422, 0.305664, -9.77344, 1.12.2022 20:28:12.632
24, 1.97416, 0.332938, 265.192, -0.000976562, 0.00195312, 0, -0.0458984, 0.291992, -9.79785, 1.12.2022 20:28:12.640
25, 1.97416, 0.332938, 265.192, -0.000976562, 0.00195312, 0, -0.0673828, 0.301758, -9.79688, 1.12.2022 20:28:12.648
26, 1.97416, 0.332938, 265.192, -0.000976562, 0, 0, -0.0703125, 0.27832, -9.79297, 1.12.2022 20:28:12.656
27, 1.97889, 0.32779, 265.192, -0.000976562, 0, 0, -0.0273438, 0.294922, -9.80762, 1.12.2022 20:28:12.664
28, 1.97889, 0.32779, 265.192, -0.00292969, 0.00195312, 0, -0.0908203, 0.292969, -9.75, 1.12.2022 20:28:12.672
29, 1.97889, 0.32779, 265.192, -0.00195312, 0.00292969, 0.000976562, -0.0566406, 0.306641, -9.7002, 1.12.2022 20:28:12.680
30, 1.97889, 0.32779, 265.192, -0.00292969, 0.00195312, 0, -0.0332031, 0.295898, -9.7627, 1.12.2022 20:28:12.688
31, 1.81698, 0.359333, 265.19, 0, 0, -0.000976562, -0.12207, 0.325195, -9.7793, 1.12.2022 20:28:12.696
32, 1.78735, 0.360576, 265.189, 0, 0, -0.000976562, -0.0351562, 0.297852, -9.73633, 1.12.2022 20:28:12.704
33, 1.77747, 0.360991, 265.189, -0.000976562, -0.000976562, -0.000976562, -0.0556641, 0.325195, -9.77832, 1.12.2022 20:28:12.712
34, 1.77747, 0.360991, 265.189, -0.000976562, -0.000976562, -0.000976562, -0.100586, 0.344727, -9.80273, 1.12.2022 20:28:12.720
35, 1.77747, 0.360991, 265.189, 0, -0.000976562, -0.000976562, -0.0195312, 0.296875, -9.79395, 1.12.2022 20:28:12.728
36, 1.77747, 0.360991, 265.189, 0, 0, -0.00195312, -0.0742188, 0.301758, -9.7832, 1.12.2022 20:28:12.736
37, 1.77747, 0.360991, 265.189, -0.000976562, -0.000976562, -0.000976562, -0.0527344, 0.294922, -9.79297, 1.12.2022 20:28:12.744
38, 1.77747, 0.360991, 265.189, -0.000976562, -0.000976562, -0.000976562, -0.0458984, 0.287109, -9.78418, 1.12.2022 20:28:12.752
39, 1.77747, 0.360991, 265.189, 0, 0, -0.000976562, -0.0927734, 0.327148, -9.75098, 1.12.2022 20:28:12.760
40, 1.78261, 0.365724, 265.189, -0.000976562, -0.000976562, 0, -0.0410156, 0.303711, -9.77637, 1.12.2022 20:28:12.768
