Seq, Rot x, Rot y, Rot z, Vel x, Vel y, Vel z, Acc x, Acc y, Acc z, Time(m.d.y h:m:s.ms)
0, 1.44654, 0.331926, 178.03, -0.00195312, -0.000976562, 0, 0.078125, 0.275391, -9.86816, 10.6.2021 14:17:25.067
1, 1.44654, 0.331926, 178.03, -0.000976562, 0, 0, 0.0419922, 0.255859, -9.86133, 10.6.2021 14:17:25.071
2, 1.44654, 0.331926, 178.03, 0, -0.000976562, 0, 0.0673828, 0.21875, -9.82031, 10.6.2021 14:17:25.079
3, 1.44654, 0.331926, 178.03, 0, -0.000976562, -0.000976562, 0.0517578, 0.227539, -9.87891, 10.6.2021 14:17:25.087
4, 1.44654, 0.331926, 178.03, 0, -0.000976562, -0.000976562, 0.0566406, 0.241211, -9.85742, 10.6.2021 14:17:25.095
5, 1.44654, 0.331926, 178.03, 0, 0, -0.000976562, 0.046875, 0.250977, -9.84961, 10.6.2021 14:17:25.103
6, 1.44666, 0.338919, 178.03, 0, -0.000976562, 0, 0.0517578, 0.265625, -9.875, 10.6.2021 14:17:25.111
7, 1.44666, 0.338919, 178.03, 0, 0, 0, 0.0615234, 0.260742, -9.87305, 10.6.2021 14:17:25.119
8, 1.44666, 0.338919, 178.03, 0, -0.000976562, 0, 0.0439453, 0.256836, -9.88281, 10.6.2021 14:17:25.127
9, 1.44666, 0.338919, 178.03, -0.000976562, 0, -0.000976562, 0.0615234, 0.260742, -9.85938, 10.6.2021 14:17:25.135
10, 1.44666, 0.338919, 178.03, -0.000976562, -0.000976562, -0.000976562, 0.0507812, 0.248047, -9.91406, 10.6.2021 14:17:25.143
11, 1.44666, 0.338919, 178.03, -0.000976562, 0, -0.000976562, 0.0595703, 0.214844, -9.85059, 10.6.2021 14:17:25.151
12, 1.44666, 0.338919, 178.03, 0, 0, 0, 0.0664062, 0.238281, -9.82422, 10.6.2021 14:17:25.159
13, 1.44666, 0.338919, 178.03, 0, -0.000976562, -0.000976562, 0.0332031, 0.198242, -9.85352, 10.6.2021 14:17:25.167
14, 1.44666, 0.338919, 178.03, 0, -0.000976562, 0, 0.0390625, 0.240234, -9.8877, 10.6.2021 14:17:25.175
15, 1.43955, 0.332046, 178.03, 0, -0.000976562, -0.000976562, 0.0302734, 0.245117, -9.83301, 10.6.2021 14:17:25.183
16, 1.43955, 0.332046, 178.03, 0.000976562, -0.000976562, 0, 0.0878906, 0.233398, -9.83203, 10.6.2021 14:17:25.191
17, 1.43955, 0.332046, 178.03, 0, 0, 0, 0.0439453, 0.273438, -9.87012, 10.6.2021 14:17:25.199
18, 1.43955, 0.332046, 178.03, -0.000976562, -0.000976562, 0, 0.0634766, 0.280273, -9.87695, 10.6.2021 14:17:25.207
19, 1.43955, 0.332046, 178.03, 0, -0.000976562, 0, 0.0654297, 0.277344, -9.86523, 10.6.2021 14:17:25.215
20, 1.43955, 0.332046, 178.03, 0, -0.000976562, -0.000976562, 0.0751953, 0.249023, -9.86426, 10.6.2021 14:17:25.223
21, 1.43955, 0.332046, 178.03, 0, -0.000976562, -0.00195312, 0.106445, 0.241211, -9.90527, 10.6.2021 14:17:25.231
22, 1.43955, 0.332046, 178.03, 0, -0.00195312, 0, 0.0751953, 0.225586, -9.88379, 10.6.2021 14:17:25.239
23, 1.43955, 0.332046, 178.03, 0, -0.000976562, 0.000976562, 0.0253906, 0.230469, -9.89258, 10.6.2021 14:17:25.247
24, 1.43955, 0.332046, 178.03, 0, -0.000976562, -0.000976562, 0.0253906, 0.223633, -9.89746, 10.6.2021 14:17:25.255
25, 1.43256, 0.332166, 178.03, -0.000976562, -0.000976562, -0.00195312, 0.0419922, 0.228516, -9.89062, 10.6.2021 14:17:25.263
26, 1.43256, 0.332166, 178.03, 0, -0.000976562, -0.000976562, 0.0136719, 0.241211, -9.8584, 10.6.2021 14:17:25.271
27, 1.43256, 0.332166, 178.03, 0, -0.000976562, -0.000976562, 0.0224609, 0.263672, -9.87695, 10.6.2021 14:17:25.279
28, 1.43256, 0.332166, 178.03, -0.000976562, 0, 0, 0.0585938, 0.274414, -9.89648, 10.6.2021 14:17:25.287
29, 1.43244, 0.325173, 178.03, -0.000976562, 0, 0, 0.0849609, 0.285156, -9.86328, 10.6.2021 14:17:25.295
30, 1.43244, 0.325173, 178.03, 0, -0.000976562, 0, 0.0898438, 0.255859, -9.85938, 10.6.2021 14:17:25.303
31, 1.43244, 0.325173, 178.03, 0, -0.000976562, 0, 0.0742188, 0.230469, -9.82715, 10.6.2021 14:17:25.311
32, 1.43256, 0.332166, 178.03, -0.000976562, 0, -0.000976562, 0.0615234, 0.21582, -9.88867, 10.6.2021 14:17:25.319
33, 1.43256, 0.332166, 178.03, 0, 0, -0.000976562, 0.0585938, 0.208984, -9.87988, 10.6.2021 14:17:25.327
