sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
679; -2.5516; -0.9992; 15.5954; -0.1738; 0.4414; -9.9131;   0.00;   0.00;  -0.00;   0.28;  -0.10;   0.47 
680; -2.5516; -0.9992; 15.5954; -0.1543; 0.4395; -9.9131;   0.00;   0.00;  -0.00;   0.04;   0.63;  -0.02 
681; -2.5516; -0.9992; 15.5954; -0.1758; 0.4570; -9.8857;   0.00;  -0.00;   0.00;   0.04;   0.62;  -0.02 
682; -2.5516; -0.9992; 15.5954; -0.1777; 0.4297; -9.9014;   0.00;   0.00;  -0.00;   0.04;   0.62;  -0.02 
683; -2.5506; -0.9923; 15.5952; -0.1729; 0.4102; -9.9014;  -0.00;   0.00;  -0.00;   0.04;   0.63;  -0.02 
684; -2.5506; -0.9923; 15.5952; -0.1680; 0.4121; -9.8848;  -0.00;  -0.00;   0.00;   0.05;   0.62;  -0.02 
685; -2.5437; -0.9931; 15.6019; -0.1621; 0.4219; -9.9492;  -0.00;  -0.00;   0.00;   0.04;   0.62;  -0.02 
686; -2.5437; -0.9931; 15.6019; -0.1592; 0.4355; -9.8770;  -0.00;  -0.00;  -0.00;   0.05;   0.62;  -0.02 
687; -2.5437; -0.9931; 15.6019; -0.1924; 0.4268; -9.9014;  -0.00;  -0.00;  -0.00;   0.04;   0.62;  -0.02 
688; -2.5437; -0.9931; 15.6019; -0.1875; 0.4131; -9.8584;  -0.00;  -0.00;  -0.00;   0.05;   0.63;  -0.02 
689; -2.5446; -1.0000; 15.6021; -0.1494; 0.4375; -9.9199;  -0.00;  -0.00;  -0.00;   0.04;   0.62;  -0.02 
690; -2.5368; -0.9941; 15.6019; -0.1641; 0.4219; -9.9043;  -0.00;   0.00;   0.00;   0.04;   0.63;  -0.02 
691; -2.5368; -0.9941; 15.6019; -0.1660; 0.4033; -9.9121;   0.00;   0.00;  -0.00;   0.05;   0.62;  -0.02 
692; -2.5368; -0.9941; 15.6019; -0.1846; 0.3711; -9.8887;  -0.00;   0.00;   0.00;   0.05;   0.63;  -0.02 
693; -2.5298; -0.9950; 15.6019; -0.1621; 0.3965; -9.9307;   0.00;   0.00;   0.00;   0.04;   0.62;  -0.02 
694; -2.5229; -0.9960; 15.6019; -0.1689; 0.4248; -9.9014;  -0.00;  -0.00;  -0.00;   0.05;   0.63;  -0.03 
695; -2.5229; -0.9960; 15.6019; -0.1875; 0.4277; -9.9150;  -0.00;  -0.00;  -0.00;   0.05;   0.63;  -0.02 
696; -2.5160; -0.9969; 15.6019; -0.1855; 0.4238; -9.8916;  -0.00;  -0.00;  -0.00;   0.05;   0.63;  -0.02 
697; -2.5160; -0.9969; 15.6019; -0.1738; 0.4375; -9.9248;  -0.00;  -0.00;  -0.00;   0.04;   0.62;  -0.02 
698; -2.5160; -0.9969; 15.6019; -0.1855; 0.4160; -9.9229;   0.00;  -0.00;  -0.00;   0.05;   0.62;  -0.02 
699; -2.5091; -0.9979; 15.6019; -0.1592; 0.4307; -9.9297;   0.00;  -0.00;   0.00;   0.05;   0.62;  -0.02 
700; -2.5091; -0.9979; 15.6019; -0.1592; 0.4268; -9.8848;  -0.00;  -0.00;   0.00;   0.05;   0.62;  -0.02 
701; -2.5022; -0.9988; 15.6019; -0.1592; 0.4434; -9.8984;  -0.00;  -0.00;  -0.00;   0.05;   0.63;  -0.02 
702; -2.5022; -0.9988; 15.6019; -0.2021; 0.4385; -9.9004;  -0.00;  -0.00;  -0.00;   0.05;   0.62;  -0.03 
703; -2.5022; -0.9988; 15.6019; -0.1885; 0.4258; -9.9482;   0.00;  -0.00;   0.00;   0.05;   0.62;  -0.02 
704; -2.4952; -0.9998; 15.6019; -0.1973; 0.4189; -9.8965;  -0.00;   0.00;   0.00;   0.04;   0.62;  -0.02 
705; -2.4952; -0.9998; 15.6019; -0.1758; 0.4482; -9.8984;   0.00;   0.00;  -0.00;   0.05;   0.63;  -0.02 
706; -2.4952; -0.9998; 15.6019; -0.1641; 0.4385; -9.9014;  -0.00;  -0.00;   0.00;   0.05;   0.62;  -0.02 
707; -2.4952; -0.9998; 15.6019; -0.1973; 0.4414; -9.8984;   0.00;  -0.00;  -0.00;   0.05;   0.62;  -0.03 
708; -2.4952; -0.9998; 15.6019; -0.1904; 0.4580; -9.9043;  -0.00;  -0.00;   0.00;   0.04;   0.62;  -0.02 
709; -2.4962; -1.0067; 15.6021; -0.2021; 0.4307; -9.8818;   0.00;  -0.00;   0.00;   0.05;   0.62;  -0.02 
710; -2.4962; -1.0067; 15.6021; -0.2070; 0.4287; -9.8955;   0.00;  -0.00;   0.00;   0.04;   0.61;  -0.02 
711; -2.4962; -1.0067; 15.6021; -0.1875; 0.4551; -9.9004;  -0.00;   0.00;  -0.00;   0.05;   0.62;  -0.02 
712; -2.4962; -1.0067; 15.6021; -0.1641; 0.4033; -9.8975;   0.00;  -0.00;  -0.00;   0.04;   0.62;  -0.02 
713; -2.4971; -1.0136; 15.6022; -0.1846; 0.4141; -9.8799;   0.00;   0.00;  -0.00;   0.05;   0.62;  -0.03 
714; -2.4902; -1.0146; 15.6022; -0.1494; 0.4355; -9.8818;   0.00;   0.00;  -0.00;   0.05;   0.62;  -0.02 
715; -2.4902; -1.0146; 15.6022; -0.1758; 0.4297; -9.9150;   0.00;  -0.00;   0.00;   0.04;   0.62;  -0.02 
716; -2.4902; -1.0146; 15.6022; -0.1807; 0.4531; -9.9004;   0.00;  -0.00;   0.00;   0.05;   0.62;  -0.02 
717; -2.4902; -1.0146; 15.6022; -0.1641; 0.4199; -9.9062;  -0.00;  -0.00;  -0.00;   0.05;   0.63;  -0.02 
718; -2.4902; -1.0146; 15.6022; -0.1611; 0.4268; -9.8848;  -0.00;  -0.00;  -0.00;   0.05;   0.63;  -0.03 
719; -2.4902; -1.0146; 15.6022; -0.1709; 0.4619; -9.8760;   0.00;  -0.00;   0.00;   0.05;   0.63;  -0.02 
720; -2.4902; -1.0146; 15.6022; -0.1904; 0.4307; -9.9463;  -0.00;   0.00;   0.00;   0.05;   0.62;  -0.02 
721; -2.4902; -1.0146; 15.6022; -0.1611; 0.4326; -9.8701;  -0.00;   0.00;   0.00;   0.05;   0.62;  -0.02 
722; -2.4902; -1.0146; 15.6022; -0.1660; 0.4229; -9.9131;   0.00;  -0.00;   0.00;   0.04;   0.62;  -0.02 
723; -2.4902; -1.0146; 15.6022; -0.1807; 0.4346; -9.9297;   0.00;  -0.00;  -0.00;   0.05;   0.63;  -0.03 
724; -2.4902; -1.0146; 15.6022; -0.2041; 0.4258; -9.8838;   0.00;   0.00;   0.00;   0.05;   0.63;  -0.01 
725; -2.4902; -1.0146; 15.6022; -0.1875; 0.4023; -9.8779;   0.00;   0.00;   0.00;   0.05;   0.62;  -0.02 
726; -2.4902; -1.0146; 15.6022; -0.1592; 0.4160; -9.9229;  -0.00;  -0.00;   0.00;   0.05;   0.62;  -0.02 
727; -2.4902; -1.0146; 15.6022; -0.1572; 0.4492; -9.9297;  -0.00;  -0.00;  -0.00;   0.04;   0.62;  -0.02 
728; -2.4902; -1.0146; 15.6022; -0.1953; 0.4180; -9.9248;  -0.00;   0.00;  -0.00;   0.04;   0.62;  -0.02 
729; -2.4902; -1.0146; 15.6022; -0.1904; 0.4258; -9.9365;   0.00;  -0.00;   0.00;   0.04;   0.62;  -0.02 
730; -2.4902; -1.0146; 15.6022; -0.1973; 0.4131; -9.9082;   0.00;   0.00;   0.00;   0.04;   0.62;  -0.02 
731; -2.4902; -1.0146; 15.6022; -0.1875; 0.4238; -9.8936;   0.00;   0.00;  -0.00;   0.05;   0.62;  -0.02 
732; -2.4902; -1.0146; 15.6022; -0.1738; 0.4463; -9.9053;  -0.00;   0.00;  -0.00;   0.05;   0.62;  -0.02 
733; -2.4902; -1.0146; 15.6022; -0.1855; 0.4531; -9.8926;  -0.00;  -0.00;   0.00;   0.05;   0.61;  -0.02 
734; -2.4902; -1.0146; 15.6022; -0.1689; 0.4502; -9.8887;  -0.00;  -0.00;  -0.00;   0.04;   0.62;  -0.02 
735; -2.4902; -1.0146; 15.6022; -0.1758; 0.4375; -9.9268;  -0.00;   0.00;  -0.00;   0.05;   0.62;  -0.02 
736; -2.4902; -1.0146; 15.6022; -0.2070; 0.4053; -9.9131;  -0.00;   0.00;  -0.00;   0.04;   0.62;  -0.02 
737; -2.4912; -1.0215; 15.6023; -0.1777; 0.4033; -9.9043;  -0.00;  -0.00;   0.00;   0.05;   0.62;  -0.02 
738; -2.4912; -1.0215; 15.6023; -0.1689; 0.4482; -9.8936;   0.00;  -0.00;   0.00;   0.04;   0.62;  -0.02 
739; -2.4912; -1.0215; 15.6023; -0.1895; 0.4238; -9.8848;   0.00;  -0.00;   0.00;   0.05;   0.62;  -0.02 
740; -2.4842; -1.0224; 15.6023; -0.1895; 0.4473; -9.8691;   0.00;  -0.00;   0.00;   0.05;   0.62;  -0.02 
741; -2.4842; -1.0224; 15.6023; -0.1611; 0.4531; -9.8838;   0.00;   0.00;   0.00;   0.06;   0.63;  -0.02 
742; -2.4842; -1.0224; 15.6023; -0.1826; 0.4355; -9.8672;   0.00;   0.00;   0.00;   0.05;   0.62;  -0.02 
743; -2.4842; -1.0224; 15.6023; -0.1738; 0.4150; -9.9180;   0.00;   0.00;   0.00;   0.05;   0.62;  -0.02 
744; -2.4842; -1.0224; 15.6023; -0.1777; 0.4189; -9.8916;   0.00;   0.00;   0.00;   0.05;   0.62;  -0.02 
745; -2.4842; -1.0224; 15.6023; -0.1875; 0.3916; -9.9092;   0.00;  -0.00;   0.00;   0.06;   0.62;  -0.02 
746; -2.4842; -1.0224; 15.6023; -0.1826; 0.4014; -9.9189;  -0.00;   0.00;   0.00;   0.04;   0.62;  -0.02 
747; -2.4842; -1.0224; 15.6023; -0.1904; 0.4219; -9.8984;  -0.00;  -0.00;  -0.00;   0.05;   0.63;  -0.03 
748; -2.4842; -1.0224; 15.6023; -0.1777; 0.4297; -9.8506;   0.00;  -0.00;  -0.00;   0.05;   0.62;  -0.02 
749; -2.4852; -1.0294; 15.6025; -0.1846; 0.4561; -9.8545;   0.00;  -0.00;  -0.00;   0.05;   0.63;  -0.03 
750; -2.4852; -1.0294; 15.6025; -0.2139; 0.4521; -9.8828;  -0.00;   0.00;  -0.00;   0.04;   0.62;  -0.02 
751; -2.4852; -1.0294; 15.6025; -0.1826; 0.4307; -9.8799;  -0.00;   0.00;  -0.00;   0.04;   0.62;  -0.02 
752; -2.4852; -1.0294; 15.6025; -0.1846; 0.4355; -9.8721;   0.00;  -0.00;   0.00;   0.05;   0.62;  -0.03 
753; -2.4852; -1.0294; 15.6025; -0.1875; 0.4160; -9.8730;   0.00;  -0.00;   0.00;   0.04;   0.63;  -0.02 
754; -2.4852; -1.0294; 15.6025; -0.1641; 0.4355; -9.9365;   0.00;  -0.00;  -0.00;   0.05;   0.63;  -0.02 
755; -2.4861; -1.0363; 15.6026; -0.1758; 0.4268; -9.8916;  -0.00;  -0.00;   0.00;   0.04;   0.62;  -0.02 
756; -2.4861; -1.0363; 15.6026; -0.2217; 0.4336; -9.9023;  -0.00;   0.00;   0.00;   0.05;   0.62;  -0.03 
757; -2.4861; -1.0363; 15.6026; -0.1777; 0.4170; -9.8867;  -0.00;   0.00;  -0.00;   0.05;   0.62;  -0.02 
758; -2.4861; -1.0363; 15.6026; -0.1689; 0.4355; -9.8867;  -0.00;   0.00;  -0.00;   0.04;   0.62;  -0.03 
759; -2.4861; -1.0363; 15.6026; -0.1582; 0.4209; -9.8584;  -0.00;  -0.00;  -0.00;   0.05;   0.62;  -0.02 
