sequenceNumber;(accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 

Sensors:
     0. Accelerometer @ 2000 us.
     1. Gyroscope @ 2000 us.
     2. Magnetometer @ 2000 us.
     3. Ambient Light Sensor disabled.
     4. Pressure Sensor disabled.
     5. Proximity Sensor disabled.
     6. Sensor Fusion @ 2000 us.

14336; -0.3086; 0.2773; -9.6104;   0.00;  -0.00;  -0.00;  -0.33;   0.91;   0.07 
14337; -0.2451; 0.2715; -9.5781;   0.00;  -0.00;  -0.00;  -0.33;   0.91;   0.07 
14338; -0.2920; 0.3203; -9.6162;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14339; -0.2793; 0.2656; -9.6084;   0.00;  -0.00;  -0.00;  -0.33;   0.90;   0.07 
14340; -0.3164; 0.3350; -9.6221;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14341; -0.2979; 0.1992; -9.5586;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14342; -0.3467; 0.2803; -9.5762;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14343; -0.3164; 0.3018; -9.6230;   0.00;  -0.00;  -0.00;  -0.33;   0.90;   0.08 
14344; -0.3301; 0.2969; -9.6143;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14345; -0.2861; 0.3008; -9.5215;   0.00;  -0.00;   0.00;  -0.32;   0.90;   0.08 
14346; -0.3320; 0.3066; -9.5684;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14347; -0.3516; 0.2959; -9.5947;  -0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14348; -0.3486; 0.2871; -9.5615;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14349; -0.3438; 0.2764; -9.5332;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14350; -0.3564; 0.2959; -9.5918;  -0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14351; -0.3906; 0.3018; -9.6338;   0.00;  -0.00;  -0.00;  -0.33;   0.90;   0.07 
14352; -0.4023; 0.2842; -9.6152;  -0.00;   0.00;   0.00;  -0.33;   0.91;   0.07 
14353; -0.2881; 0.2969; -9.5498;  -0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14354; -0.3135; 0.3506; -9.5957;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14355; -0.3584; 0.3057; -9.5439;   0.00;   0.00;   0.00;  -0.33;   0.90;   0.08 
14356; -0.3252; 0.3252; -9.6055;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14357; -0.3203; 0.2861; -9.5791;   0.00;   0.00;   0.00;  -0.33;   0.91;   0.07 
14358; -0.3096; 0.2988; -9.5381;  -0.00;   0.00;   0.00;  -0.33;   0.90;   0.08 
