sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
29889; -2.4966; -0.8011; -108.2231; -0.1396; 0.4326; -9.9209;   0.00;   0.00;  -0.00;  -0.35;   1.06;  -0.29 
29890; -2.4969; -0.8012; -108.2327; -0.1758; 0.4121; -9.9014;   0.00;   0.00;  -0.00;  -0.34;   0.94;  -0.21 
29891; -2.4969; -0.8012; -108.2327; -0.1875; 0.4268; -9.8936;   0.00;   0.00;  -0.00;  -0.33;   0.94;  -0.22 
29892; -2.5010; -0.8069; -108.2324; -0.1484; 0.4326; -9.8516;   0.00;   0.00;   0.00;  -0.34;   0.95;  -0.22 
29893; -2.5010; -0.8069; -108.2324; -0.1641; 0.4268; -9.8867;   0.00;   0.00;  -0.00;  -0.34;   0.95;  -0.21 
29894; -2.5010; -0.8069; -108.2324; -0.1445; 0.4082; -9.9023;   0.00;   0.00;  -0.00;  -0.34;   0.94;  -0.21 
29895; -2.4953; -0.8110; -108.2324; -0.1514; 0.4199; -9.8945;  -0.00;   0.00;  -0.00;  -0.33;   0.95;  -0.22 
29896; -2.4953; -0.8110; -108.2324; -0.1631; 0.4551; -9.8691;   0.00;   0.00;   0.00;  -0.33;   0.95;  -0.22 
29897; -2.4953; -0.8110; -108.2324; -0.1807; 0.4170; -9.8848;  -0.00;   0.00;   0.00;  -0.34;   0.94;  -0.21 
29898; -2.4994; -0.8167; -108.2322; -0.1943; 0.4307; -9.8721;  -0.00;   0.00;   0.00;  -0.33;   0.93;  -0.21 
29899; -2.4937; -0.8208; -108.2322; -0.1680; 0.4336; -9.8818;   0.00;   0.00;   0.00;  -0.33;   0.94;  -0.21 
29900; -2.4978; -0.8264; -108.2319; -0.1807; 0.4717; -9.8711;   0.00;   0.00;   0.00;  -0.33;   0.95;  -0.21 
29901; -2.4978; -0.8264; -108.2319; -0.1777; 0.4307; -9.8867;   0.00;   0.00;  -0.00;  -0.33;   0.94;  -0.21 
29902; -2.5019; -0.8321; -108.2316; -0.1562; 0.4141; -9.8711;  -0.00;   0.00;  -0.00;  -0.33;   0.94;  -0.22 
29903; -2.4963; -0.8362; -108.2317; -0.1592; 0.4297; -9.9131;   0.00;   0.00;  -0.00;  -0.33;   0.93;  -0.21 
29904; -2.5003; -0.8419; -108.2314; -0.1660; 0.4102; -9.9111;  -0.00;  -0.00;   0.00;  -0.33;   0.95;  -0.22 
29905; -2.4947; -0.8460; -108.2314; -0.1807; 0.4141; -9.8877;   0.00;   0.00;   0.00;  -0.33;   0.94;  -0.21 
29906; -2.4947; -0.8460; -108.2314; -0.1807; 0.4287; -9.8916;  -0.00;   0.00;   0.00;  -0.33;   0.94;  -0.21 
29907; -2.4988; -0.8516; -108.2312; -0.1748; 0.4287; -9.8154;   0.00;   0.00;   0.00;  -0.33;   0.94;  -0.21 
29908; -2.4931; -0.8557; -108.2312; -0.1777; 0.4131; -9.8564;   0.00;  -0.00;   0.00;  -0.32;   0.95;  -0.21 
29909; -2.4972; -0.8614; -108.2309; -0.1709; 0.4043; -9.8809;  -0.00;   0.00;  -0.00;  -0.34;   0.93;  -0.22 
29910; -2.4916; -0.8655; -108.2310; -0.2021; 0.4219; -9.8916;  -0.00;  -0.00;  -0.00;  -0.33;   0.94;  -0.21 
29911; -2.4957; -0.8711; -108.2307; -0.1494; 0.4355; -9.8701;   0.00;  -0.00;   0.00;  -0.34;   0.94;  -0.22 
29912; -2.4900; -0.8752; -108.2307; -0.1777; 0.4189; -9.8828;   0.00;   0.00;  -0.00;  -0.33;   0.95;  -0.22 
29913; -2.4941; -0.8809; -108.2304; -0.1738; 0.4307; -9.9297;   0.00;   0.00;   0.00;  -0.33;   0.94;  -0.22 
29914; -2.4884; -0.8850; -108.2305; -0.1641; 0.4229; -9.9082;   0.00;  -0.00;   0.00;  -0.33;   0.94;  -0.21 
29915; -2.4884; -0.8850; -108.2305; -0.1758; 0.4170; -9.8877;   0.00;   0.00;  -0.00;  -0.33;   0.94;  -0.22 
29916; -2.4869; -0.8948; -108.2302; -0.1807; 0.4287; -9.8887;   0.00;  -0.00;  -0.00;  -0.34;   0.94;  -0.21 
29917; -2.4869; -0.8948; -108.2302; -0.1562; 0.4307; -9.8779;   0.00;  -0.00;   0.00;  -0.33;   0.94;  -0.22 
29918; -2.4853; -0.9045; -108.2300; -0.1943; 0.4307; -9.8818;   0.00;   0.00;   0.00;  -0.34;   0.95;  -0.22 
29919; -2.4853; -0.9045; -108.2300; -0.1660; 0.4287; -9.8799;   0.00;   0.00;   0.00;  -0.33;   0.94;  -0.21 
29920; -2.4796; -0.9086; -108.2300; -0.1875; 0.4131; -9.8535;  -0.00;   0.00;  -0.00;  -0.34;   0.94;  -0.21 
29921; -2.4837; -0.9143; -108.2298; -0.1680; 0.4033; -9.8994;  -0.00;   0.00;   0.00;  -0.34;   0.93;  -0.21 
