sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
44; -2.0952; 0.0466; 56.5319; 0.0684; 0.4473; -9.7520;   0.02;  -0.04;   1.04;  -0.24;   0.18;   0.07 
45; -2.0829; 0.0487; 57.0141; 0.0430; 0.3477; -9.7285;   0.02;  -0.04;   1.05;  -0.24;   0.19;   0.06 
46; -2.0737; 0.0446; 57.4979; 0.0127; 0.4150; -9.7979;   0.02;  -0.04;   1.05;  -0.24;   0.18;   0.06 
47; -2.0708; 0.0438; 57.9766; -0.0400; 0.3730; -9.8428;   0.02;  -0.04;   1.04;  -0.23;   0.19;   0.06 
48; -2.0620; 0.0396; 58.4623; -0.1455; 0.4004; -9.8291;   0.02;  -0.04;   1.05;  -0.23;   0.18;   0.06 
49; -2.0528; 0.0352; 58.9377; -0.1035; 0.3662; -9.8779;   0.02;  -0.04;   1.05;  -0.23;   0.19;   0.06 
50; -2.0439; 0.0309; 59.4199; -0.1113; 0.2900; -9.8135;   0.02;  -0.04;   1.05;  -0.23;   0.18;   0.06 
51; -2.0387; 0.0203; 59.8974; 0.0332; 0.2129; -9.7852;   0.02;  -0.04;   1.04;  -0.24;   0.18;   0.06 
52; -2.0241; 0.0123; 60.3851; 0.0283; 0.3828; -9.7607;   0.01;  -0.04;   1.05;  -0.24;   0.18;   0.06 
53; -2.0154; 0.0076; 60.8590; 0.0078; 0.2637; -9.7119;   0.02;  -0.04;   1.05;  -0.24;   0.19;   0.07 
54; -2.0033; 0.0089; 61.3400; 0.0811; 0.3281; -9.7656;   0.02;  -0.04;   1.04;  -0.24;   0.18;   0.06 
55; -1.9948; 0.0041; 61.8193; 0.0000; 0.3008; -9.7656;   0.02;  -0.04;   1.04;  -0.23;   0.18;   0.06 
56; -1.9830; 0.0053; 62.3056; 0.0176; 0.2656; -9.8428;   0.02;  -0.04;   1.05;  -0.24;   0.18;   0.06 
57; -1.9684; -0.0033; 62.7814; -0.0547; 0.4014; -9.8398;   0.02;  -0.04;   1.05;  -0.24;   0.18;   0.06 
58; -1.9603; -0.0084; 63.2615; -0.0713; 0.3408; -9.8252;   0.02;  -0.04;   1.04;  -0.23;   0.18;   0.07 
59; -1.9520; -0.0134; 63.7424; -0.0498; 0.3145; -9.8711;   0.02;  -0.04;   1.05;  -0.24;   0.18;   0.06 
