sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 

Sensors:
     0. Accelerometer @ 2000 us.
     1. Gyroscope @ 2000 us.
     2. Magnetometer @ 2000 us.
     3. Ambient Light Sensor disabled.
     4. Pressure Sensor disabled.
     5. Proximity Sensor disabled.
     6. Sensor Fusion @ 2000 us.

9782; -2.4804; -1.1734; 125.2792; -0.1162; 0.3633; -9.9805;   0.00;  -0.00;   0.00;  -0.20;  -0.28;   0.59 
9783; -2.4804; -1.1734; 125.2792; -0.1484; 0.4395; -9.9844;   0.00;   0.00;   0.00;  -0.20;  -0.28;   0.59 
9784; -2.4804; -1.1734; 125.2792; -0.1914; 0.4170; -9.9658;  -0.00;  -0.00;   0.00;  -0.19;  -0.29;   0.58 
9785; -2.4804; -1.1734; 125.2792; -0.2070; 0.4131; -9.9277;   0.00;  -0.00;  -0.00;  -0.20;  -0.28;   0.58 
9786; -2.4804; -1.1734; 125.2792; -0.1787; 0.3818; -9.9814;   0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.60 
9787; -2.4804; -1.1734; 125.2792; -0.1748; 0.4062; -9.9971;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9788; -2.4800; -1.1734; 125.2773; -0.1787; 0.4727; -9.9023;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9789; -2.4800; -1.1734; 125.2773; -0.1582; 0.3789; -9.8936;   0.00;  -0.00;   0.00;  -0.21;  -0.28;   0.58 
9790; -2.4800; -1.1734; 125.2773; -0.1787; 0.3906; -9.9668;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9791; -2.4800; -1.1734; 125.2773; -0.1309; 0.3896; -9.9385;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9792; -2.4800; -1.1734; 125.2773; -0.2070; 0.4434; -9.8975;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9793; -2.4800; -1.1734; 125.2773; -0.2207; 0.4287; -9.8838;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.60 
9794; -2.4800; -1.1734; 125.2773; -0.1631; 0.3828; -9.8818;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9795; -2.4800; -1.1734; 125.2773; -0.1484; 0.3994; -9.8574;   0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.59 
9796; -2.4800; -1.1734; 125.2773; -0.1680; 0.4023; -9.8711;   0.00;   0.00;   0.00;  -0.21;  -0.28;   0.59 
9797; -2.4800; -1.1734; 125.2773; -0.1396; 0.4307; -9.8564;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9798; -2.4800; -1.1734; 125.2773; -0.1494; 0.4111; -9.9160;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9799; -2.4800; -1.1734; 125.2773; -0.1660; 0.4180; -9.9229;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9800; -2.4800; -1.1734; 125.2773; -0.1592; 0.4238; -9.9424;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9801; -2.4800; -1.1734; 125.2773; -0.1660; 0.4912; -9.8779;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9802; -2.4800; -1.1734; 125.2773; -0.1387; 0.4307; -9.9941;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9803; -2.4800; -1.1734; 125.2773; -0.1709; 0.3682; -9.9297;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9804; -2.4800; -1.1734; 125.2773; -0.1299; 0.4121; -9.8857;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9805; -2.4800; -1.1734; 125.2773; -0.1973; 0.4121; -9.8945;  -0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9806; -2.4800; -1.1734; 125.2773; -0.1787; 0.4678; -9.8926;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9807; -2.4800; -1.1734; 125.2773; -0.1670; 0.3945; -9.9473;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9813; -2.4741; -1.1700; 125.2861; -0.2012; 0.3994; -9.8730;   0.00;   0.00;   0.00;  -0.20;  -0.29;   0.59 
