TimeStamp;(accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 

Sensors:
     0. Accelerometer @ 2000 us.
     1. Gyroscope @ 2000 us.
     2. Magnetometer @ 2000 us.
     3. Ambient Light Sensor disabled.
     4. Pressure Sensor disabled.
     5. Proximity Sensor disabled.
     6. Sensor Fusion @ 2000 us.

1687869136.4977; -0.3086; 0.3096; -9.6357;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.4997; -0.3145; 0.3184; -9.6992;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.5017; -0.3740; 0.2939; -9.6943;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.5037; -0.3623; 0.3076; -9.6729;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.5057; -0.3438; 0.2979; -9.7354;  -0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.5077; -0.3018; 0.2471; -9.6426;  -0.00;  -0.01;   0.00;  -0.35;   1.06;  -0.26 
1687869136.5097; -0.3418; 0.3105; -9.6113;  -0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.5117; -0.3457; 0.3320; -9.6768;   0.00;  -0.00;   0.00;  -0.36;   1.05;  -0.27 
1687869136.5137; -0.2900; 0.2852; -9.6914;  -0.00;  -0.00;   0.00;  -0.35;   1.07;  -0.28 
1687869136.5157; -0.2881; 0.2969; -9.6768;   0.00;   0.00;  -0.00;  -0.36;   1.06;  -0.27 
1687869136.5177; -0.3730; 0.3262; -9.7197;   0.00;   0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.5197; -0.3213; 0.3574; -9.6387;  -0.00;  -0.00;  -0.00;  -0.35;   1.05;  -0.27 
1687869136.5217; -0.3379; 0.3174; -9.6777;  -0.00;   0.00;   0.00;  -0.34;   1.06;  -0.27 
1687869136.5237; -0.2930; 0.3018; -9.6904;   0.00;   0.00;  -0.00;  -0.35;   1.06;  -0.26 
1687869136.5257; -0.2803; 0.2920; -9.6836;   0.00;  -0.00;   0.00;  -0.36;   1.06;  -0.27 
1687869136.5277; -0.3525; 0.3525; -9.6621;   0.00;   0.00;   0.00;  -0.36;   1.05;  -0.27 
1687869136.5297; -0.2803; 0.3369; -9.6113;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.5317; -0.2705; 0.3281; -9.6211;   0.00;  -0.00;  -0.00;  -0.35;   1.05;  -0.26 
1687869136.5337; -0.3496; 0.2910; -9.6641;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.5357; -0.3838; 0.3408; -9.6738;   0.00;   0.00;   0.00;  -0.36;   1.06;  -0.27 
1687869136.5377; -0.3066; 0.3096; -9.6396;   0.00;   0.00;  -0.00;  -0.35;   1.06;  -0.28 
1687869136.5397; -0.2998; 0.2695; -9.6562;  -0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.5417; -0.3652; 0.2812; -9.7334;   0.00;  -0.00;   0.00;  -0.35;   1.07;  -0.27 
1687869136.5437; -0.3760; 0.2871; -9.6250;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.26 
1687869136.5457; -0.3213; 0.2920; -9.6855;   0.00;  -0.00;   0.00;  -0.35;   1.05;  -0.27 
1687869136.5477; -0.2900; 0.3281; -9.6133;   0.00;  -0.00;  -0.00;  -0.34;   1.06;  -0.26 
1687869136.5497; -0.3545; 0.2959; -9.6709;  -0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.26 
