sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
0; -2.4323; -0.8991; -75.0949; -0.1562; 0.4189; -9.8848;   0.00;  -0.00;   0.00;   0.04;   0.08;   0.49 
1; -2.4323; -0.8991; -75.0949; -0.1562; 0.4395; -9.8389;   0.00;  -0.00;   0.00;   0.04;   0.08;   0.49 
2; -2.4326; -0.8989; -75.0935; -0.1689; 0.4482; -9.8838;   0.00;  -0.00;   0.00;   0.04;   0.08;   0.48 
3; -2.4326; -0.8989; -75.0935; -0.1465; 0.4238; -9.8848;   0.00;  -0.00;   0.00;   0.05;   0.08;   0.49 
4; -2.4326; -0.8989; -75.0935; -0.1680; 0.4082; -9.8516;   0.00;  -0.00;   0.00;   0.04;   0.07;   0.49 
5; -2.4326; -0.8989; -75.0935; -0.1777; 0.4229; -9.8516;   0.00;  -0.00;   0.00;   0.05;   0.08;   0.49 
6; -2.4326; -0.8989; -75.0935; -0.1367; 0.4180; -9.8545;   0.00;  -0.00;   0.00;   0.05;   0.08;   0.49 
7; -2.4326; -0.8989; -75.0935; -0.1533; 0.4180; -9.8379;   0.00;   0.00;   0.00;   0.05;   0.08;   0.49 
8; -2.4326; -0.8989; -75.0935; -0.1367; 0.4326; -9.8633;   0.00;   0.00;   0.00;   0.05;   0.08;   0.49 
9; -2.4326; -0.8989; -75.0935; -0.1572; 0.4492; -9.9336;   0.00;  -0.00;   0.00;   0.05;   0.07;   0.48 
10; -2.4283; -0.9044; -75.0935; -0.1709; 0.4355; -9.8701;   0.00;  -0.00;   0.00;   0.04;   0.08;   0.49 
11; -2.4283; -0.9044; -75.0935; -0.1787; 0.4531; -9.8955;   0.00;  -0.00;   0.00;   0.05;   0.08;   0.49 
12; -2.4280; -0.9044; -75.0838; -0.1465; 0.4414; -9.8271;   0.00;  -0.00;   0.00;   0.04;   0.09;   0.48 
13; -2.4283; -0.9042; -75.0824; -0.1631; 0.4053; -9.8350;   0.00;  -0.00;   0.00;   0.05;   0.08;   0.49 
14; -2.4283; -0.9042; -75.0824; -0.1650; 0.3896; -9.8691;   0.00;  -0.00;   0.00;   0.05;   0.07;   0.50 
15; -2.4283; -0.9042; -75.0824; -0.1582; 0.4336; -9.8730;   0.00;  -0.00;   0.00;   0.04;   0.09;   0.48 
16; -2.4283; -0.9042; -75.0824; -0.1904; 0.4053; -9.8945;   0.00;  -0.00;   0.00;   0.04;   0.08;   0.48 
17; -2.4283; -0.9042; -75.0824; -0.1562; 0.4092; -9.8564;   0.00;  -0.00;   0.00;   0.04;   0.08;   0.49 
18; -2.4283; -0.9042; -75.0824; -0.1758; 0.4336; -9.8867;   0.00;  -0.00;   0.00;   0.04;   0.08;   0.48 
19; -2.4283; -0.9042; -75.0824; -0.1514; 0.4053; -9.8828;   0.00;  -0.00;   0.00;   0.04;   0.08;   0.49 
20; -2.4283; -0.9042; -75.0824; -0.1543; 0.4336; -9.8730;   0.00;  -0.00;   0.00;   0.04;   0.08;   0.49 
21; -2.4283; -0.9042; -75.0824; -0.1699; 0.4297; -9.8555;   0.00;  -0.00;   0.00;   0.04;   0.08;   0.49 
22; -2.4283; -0.9042; -75.0824; -0.1729; 0.4473; -9.8555;   0.00;  -0.00;   0.00;   0.04;   0.08;   0.48 
23; -2.4241; -0.9098; -75.0824; -0.1562; 0.4404; -9.8750;   0.00;  -0.00;   0.00;   0.05;   0.08;   0.49 
24; -2.4244; -0.9096; -75.0809; -0.1777; 0.4473; -9.8740;   0.00;  -0.00;   0.00;   0.05;   0.08;   0.49 
25; -2.4240; -0.9096; -75.0713; -0.1826; 0.4404; -9.8818;   0.00;  -0.00;   0.00;   0.04;   0.07;   0.48 
26; -2.4240; -0.9096; -75.0713; -0.1758; 0.4297; -9.9062;   0.00;  -0.00;   0.00;   0.05;   0.08;   0.49 
27; -2.4240; -0.9096; -75.0713; -0.1836; 0.4463; -9.9023;   0.00;  -0.00;   0.00;   0.04;   0.08;   0.48 
28; -2.4240; -0.9096; -75.0713; -0.1592; 0.4385; -9.8818;   0.00;  -0.00;   0.00;   0.05;   0.08;   0.49 
