sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
187; -2.4834; -0.9697; 12.3527; -0.1768; 0.4258; -9.8105;  -0.00;  -0.00;   0.00;   0.07;   0.65;  -0.02 
188; -2.4834; -0.9697; 12.3527; -0.1895; 0.4326; -9.8750;   0.00;  -0.00;   0.00;   0.06;   0.63;  -0.02 
189; -2.4834; -0.9697; 12.3527; -0.1846; 0.4512; -9.8525;  -0.00;  -0.00;   0.00;   0.06;   0.64;  -0.03 
190; -2.4841; -0.9766; 12.3528; -0.1748; 0.4482; -9.8359;  -0.00;  -0.00;   0.00;   0.07;   0.63;  -0.02 
191; -2.4841; -0.9766; 12.3528; -0.1660; 0.4443; -9.8486;   0.00;   0.00;   0.00;   0.06;   0.64;  -0.03 
192; -2.4841; -0.9766; 12.3528; -0.1680; 0.4326; -9.8682;   0.00;  -0.00;   0.00;   0.07;   0.64;  -0.03 
193; -2.4849; -0.9836; 12.3529; -0.1973; 0.4111; -9.8682;  -0.00;  -0.00;   0.00;   0.06;   0.63;  -0.03 
194; -2.4849; -0.9835; 12.3597; -0.1699; 0.4297; -9.8389;  -0.00;  -0.00;   0.00;   0.07;   0.64;  -0.03 
195; -2.4849; -0.9835; 12.3597; -0.1924; 0.4160; -9.8682;  -0.00;   0.00;   0.00;   0.06;   0.63;  -0.01 
196; -2.4849; -0.9835; 12.3597; -0.1807; 0.4268; -9.8965;  -0.00;  -0.00;   0.00;   0.06;   0.64;  -0.03 
197; -2.4856; -0.9904; 12.3599; -0.1670; 0.4004; -9.8281;  -0.00;  -0.00;   0.00;   0.07;   0.64;  -0.02 
198; -2.4856; -0.9904; 12.3599; -0.1602; 0.4268; -9.8232;   0.00;  -0.00;   0.00;   0.05;   0.64;  -0.02 
199; -2.4856; -0.9904; 12.3599; -0.1514; 0.4033; -9.8496;   0.00;   0.00;   0.00;   0.06;   0.64;  -0.03 
200; -2.4856; -0.9904; 12.3599; -0.1729; 0.4062; -9.8496;   0.00;  -0.00;   0.00;   0.07;   0.63;  -0.02 
201; -2.4856; -0.9904; 12.3599; -0.1660; 0.4375; -9.8652;   0.00;  -0.00;   0.00;   0.06;   0.64;  -0.03 
202; -2.4856; -0.9904; 12.3599; -0.1875; 0.4229; -9.8555;   0.00;   0.00;   0.00;   0.07;   0.64;  -0.02 
203; -2.4787; -0.9912; 12.3599; -0.1572; 0.3975; -9.8096;  -0.00;  -0.00;  -0.00;   0.06;   0.63;  -0.02 
204; -2.4787; -0.9912; 12.3599; -0.1611; 0.4189; -9.8711;  -0.00;  -0.00;   0.00;   0.06;   0.64;  -0.02 
205; -2.4787; -0.9912; 12.3599; -0.1504; 0.4238; -9.8115;  -0.00;  -0.00;   0.00;   0.07;   0.64;  -0.03 
206; -2.4787; -0.9912; 12.3599; -0.1709; 0.4375; -9.8672;  -0.00;  -0.00;   0.00;   0.06;   0.63;  -0.02 
207; -2.4787; -0.9912; 12.3599; -0.1797; 0.4082; -9.8467;  -0.00;   0.00;  -0.00;   0.06;   0.64;  -0.02 
208; -2.4787; -0.9912; 12.3599; -0.1514; 0.4248; -9.8418;   0.00;   0.00;  -0.00;   0.06;   0.63;  -0.02 
209; -2.4787; -0.9912; 12.3599; -0.1826; 0.4277; -9.8701;  -0.00;   0.00;  -0.00;   0.06;   0.63;  -0.02 
210; -2.4717; -0.9919; 12.3599; -0.1865; 0.4150; -9.8486;   0.00;  -0.00;  -0.00;   0.06;   0.64;  -0.03 
211; -2.4717; -0.9919; 12.3599; -0.1777; 0.4297; -9.8340;   0.00;  -0.00;  -0.00;   0.07;   0.63;  -0.02 
212; -2.4717; -0.9919; 12.3599; -0.1611; 0.4404; -9.8633;   0.00;  -0.00;  -0.00;   0.07;   0.64;  -0.02 
213; -2.4717; -0.9919; 12.3599; -0.1650; 0.4297; -9.8320;  -0.00;  -0.00;   0.00;   0.06;   0.63;  -0.03 
214; -2.4717; -0.9919; 12.3599; -0.1748; 0.4131; -9.8418;  -0.00;  -0.00;   0.00;   0.07;   0.63;  -0.02 
215; -2.4717; -0.9919; 12.3599; -0.1729; 0.4102; -9.8350;  -0.00;   0.00;   0.00;   0.07;   0.64;  -0.03 
216; -2.4717; -0.9919; 12.3599; -0.1992; 0.4160; -9.8818;  -0.00;  -0.00;  -0.00;   0.06;   0.63;  -0.02 
217; -2.4717; -0.9919; 12.3599; -0.1680; 0.4248; -9.8535;   0.00;   0.00;   0.00;   0.06;   0.63;  -0.02 
218; -2.4717; -0.9919; 12.3599; -0.1562; 0.4355; -9.8604;  -0.00;   0.00;   0.00;   0.06;   0.63;  -0.02 
219; -2.4717; -0.9919; 12.3599; -0.1680; 0.4131; -9.8564;  -0.00;  -0.00;   0.00;   0.06;   0.63;  -0.01 
220; -2.4717; -0.9919; 12.3599; -0.1494; 0.4287; -9.8701;  -0.00;  -0.00;   0.00;   0.06;   0.63;  -0.02 
221; -2.4648; -0.9927; 12.3598; -0.1699; 0.4102; -9.8379;   0.00;  -0.00;  -0.00;   0.07;   0.64;  -0.03 
222; -2.4648; -0.9927; 12.3598; -0.1729; 0.4004; -9.8398;  -0.00;  -0.00;   0.00;   0.06;   0.63;  -0.02 
223; -2.4641; -0.9857; 12.3597; -0.1797; 0.3877; -9.8760;   0.00;   0.00;   0.00;   0.07;   0.63;  -0.02 
224; -2.4641; -0.9857; 12.3597; -0.1943; 0.3965; -9.8594;   0.00;  -0.00;   0.00;   0.07;   0.64;  -0.02 
225; -2.4571; -0.9865; 12.3597; -0.2012; 0.4482; -9.8281;  -0.00;   0.00;   0.00;   0.07;   0.64;  -0.03 
226; -2.4579; -0.9933; 12.3666; -0.1729; 0.4189; -9.8730;   0.00;  -0.00;   0.00;   0.06;   0.63;  -0.02 
227; -2.4579; -0.9933; 12.3666; -0.1826; 0.4297; -9.8584;   0.00;  -0.00;   0.00;   0.06;   0.63;  -0.02 
228; -2.4579; -0.9933; 12.3666; -0.1553; 0.4473; -9.8027;   0.00;  -0.00;   0.00;   0.07;   0.63;  -0.02 
229; -2.4579; -0.9933; 12.3666; -0.1562; 0.4414; -9.8369;   0.00;  -0.00;   0.00;   0.07;   0.64;  -0.03 
230; -2.4579; -0.9933; 12.3666; -0.1748; 0.4229; -9.8516;  -0.00;  -0.00;  -0.00;   0.07;   0.64;  -0.02 
231; -2.4579; -0.9933; 12.3666; -0.1826; 0.4316; -9.8369;  -0.00;  -0.00;   0.00;   0.06;   0.64;  -0.02 
232; -2.4579; -0.9933; 12.3666; -0.1436; 0.4219; -9.8301;  -0.00;  -0.00;   0.00;   0.06;   0.64;  -0.02 
233; -2.4579; -0.9933; 12.3666; -0.1973; 0.4424; -9.8574;  -0.00;  -0.00;   0.00;   0.07;   0.64;  -0.02 
234; -2.4579; -0.9933; 12.3666; -0.1582; 0.4082; -9.8516;  -0.00;  -0.00;  -0.00;   0.06;   0.64;  -0.02 
235; -2.4579; -0.9933; 12.3666; -0.1777; 0.4092; -9.8730;  -0.00;  -0.00;   0.00;   0.06;   0.64;  -0.02 
236; -2.4579; -0.9933; 12.3666; -0.1729; 0.4287; -9.8770;  -0.00;  -0.00;   0.00;   0.05;   0.62;  -0.02 
237; -2.4579; -0.9933; 12.3666; -0.1631; 0.4287; -9.8252;   0.00;   0.00;   0.00;   0.07;   0.63;  -0.03 
238; -2.4579; -0.9933; 12.3666; -0.1436; 0.4346; -9.8486;   0.00;  -0.00;  -0.00;   0.07;   0.64;  -0.02 
239; -2.4579; -0.9933; 12.3666; -0.1436; 0.4033; -9.8408;   0.00;  -0.00;  -0.00;   0.06;   0.63;  -0.03 
240; -2.4579; -0.9933; 12.3666; -0.1729; 0.4297; -9.8555;   0.00;  -0.00;  -0.00;   0.07;   0.64;  -0.03 
241; -2.4579; -0.9933; 12.3666; -0.1797; 0.4229; -9.8486;  -0.00;  -0.00;  -0.00;   0.06;   0.63;  -0.02 
242; -2.4579; -0.9933; 12.3666; -0.1768; 0.3984; -9.8398;  -0.00;  -0.00;  -0.00;   0.06;   0.63;  -0.03 
243; -2.4579; -0.9934; 12.3598; -0.1729; 0.4346; -9.8389;  -0.00;  -0.00;  -0.00;   0.06;   0.63;  -0.02 
244; -2.4579; -0.9934; 12.3598; -0.1777; 0.4229; -9.8633;  -0.00;  -0.00;  -0.00;   0.07;   0.64;  -0.02 
245; -2.4579; -0.9934; 12.3598; -0.1582; 0.4316; -9.8418;  -0.00;  -0.00;  -0.00;   0.06;   0.64;  -0.03 
246; -2.4579; -0.9934; 12.3598; -0.1582; 0.4395; -9.8389;  -0.00;  -0.00;  -0.00;   0.06;   0.63;  -0.03 
247; -2.4579; -0.9934; 12.3598; -0.1699; 0.4033; -9.8477;   0.00;  -0.00;  -0.00;   0.07;   0.64;  -0.02 
248; -2.4579; -0.9934; 12.3598; -0.1465; 0.4229; -9.8447;  -0.00;  -0.00;  -0.00;   0.06;   0.63;  -0.02 
249; -2.4571; -0.9865; 12.3597; -0.1680; 0.4395; -9.8389;  -0.00;   0.00;   0.00;   0.06;   0.63;  -0.03 
250; -2.4571; -0.9865; 12.3597; -0.1602; 0.4033; -9.8398;  -0.00;  -0.00;  -0.00;   0.07;   0.63;  -0.02 
251; -2.4571; -0.9865; 12.3597; -0.1465; 0.4014; -9.8623;  -0.00;  -0.00;  -0.00;   0.06;   0.63;  -0.02 
252; -2.4571; -0.9865; 12.3597; -0.1777; 0.4043; -9.8779;  -0.00;  -0.00;  -0.00;   0.07;   0.63;  -0.03 
253; -2.4571; -0.9865; 12.3597; -0.1748; 0.4150; -9.8320;  -0.00;  -0.00;  -0.00;   0.06;   0.64;  -0.02 
254; -2.4571; -0.9865; 12.3597; -0.1777; 0.4414; -9.8291;  -0.00;  -0.00;   0.00;   0.07;   0.64;  -0.02 
255; -2.4571; -0.9865; 12.3597; -0.1650; 0.3975; -9.8115;   0.00;  -0.00;  -0.00;   0.06;   0.64;  -0.03 
256; -2.4571; -0.9865; 12.3597; -0.1533; 0.3965; -9.8506;  -0.00;  -0.00;   0.00;   0.06;   0.64;  -0.01 
257; -2.4564; -0.9795; 12.3595; -0.1729; 0.4033; -9.8477;  -0.00;  -0.00;   0.00;   0.06;   0.63;  -0.03 
258; -2.4564; -0.9795; 12.3595; -0.1748; 0.4219; -9.8184;  -0.00;  -0.00;   0.00;   0.07;   0.64;  -0.02 
259; -2.4564; -0.9795; 12.3595; -0.1650; 0.4131; -9.8516;  -0.00;  -0.00;   0.00;   0.06;   0.63;  -0.03 
260; -2.4494; -0.9803; 12.3595; -0.1826; 0.4180; -9.8516;  -0.00;   0.00;  -0.00;   0.07;   0.64;  -0.02 
261; -2.4494; -0.9803; 12.3595; -0.1660; 0.4297; -9.8516;  -0.00;  -0.00;  -0.00;   0.06;   0.63;  -0.02 
262; -2.4494; -0.9803; 12.3595; -0.1846; 0.4277; -9.8633;  -0.00;  -0.00;  -0.00;   0.06;   0.63;  -0.02 
263; -2.4494; -0.9803; 12.3595; -0.1865; 0.4170; -9.8301;  -0.00;  -0.00;  -0.00;   0.06;   0.64;  -0.03 
264; -2.4494; -0.9803; 12.3595; -0.1729; 0.4502; -9.8818;   0.00;  -0.00;  -0.00;   0.06;   0.64;  -0.02 
265; -2.4494; -0.9804; 12.3527; -0.1602; 0.4180; -9.8447;  -0.00;  -0.00;  -0.00;   0.06;   0.63;  -0.02 
266; -2.4494; -0.9804; 12.3527; -0.1436; 0.4297; -9.8447;   0.00;  -0.00;   0.00;   0.06;   0.63;  -0.02 
267; -2.4494; -0.9804; 12.3527; -0.1387; 0.4238; -9.8184;  -0.00;   0.00;  -0.00;   0.06;   0.63;  -0.02 
268; -2.4494; -0.9804; 12.3527; -0.1650; 0.4385; -9.8242;  -0.00;   0.00;  -0.00;   0.07;   0.64;  -0.02 
269; -2.4563; -0.9797; 12.3528; -0.1777; 0.4326; -9.8457;  -0.00;  -0.00;  -0.00;   0.06;   0.64;  -0.02 
270; -2.4563; -0.9797; 12.3528; -0.1826; 0.4131; -9.8613;  -0.00;  -0.00;  -0.00;   0.06;   0.64;  -0.03 
271; -2.4563; -0.9797; 12.3528; -0.1699; 0.4404; -9.8193;   0.00;  -0.00;  -0.00;   0.06;   0.63;  -0.03 
272; -2.4563; -0.9797; 12.3528; -0.1826; 0.4209; -9.8584;   0.00;   0.00;   0.00;   0.07;   0.64;  -0.02 
273; -2.4563; -0.9797; 12.3528; -0.1943; 0.4150; -9.8516;   0.00;   0.00;  -0.00;   0.06;   0.63;  -0.02 
274; -2.4563; -0.9797; 12.3528; -0.1680; 0.4082; -9.8428;   0.00;   0.00;   0.00;   0.06;   0.64;  -0.03 
275; -2.4563; -0.9797; 12.3528; -0.1367; 0.4375; -9.8447;   0.00;   0.00;   0.00;   0.07;   0.64;  -0.02 
276; -2.4563; -0.9797; 12.3528; -0.1875; 0.4033; -9.8564;   0.00;   0.00;   0.00;   0.06;   0.64;  -0.02 
