Seq, Rot x, Rot y, Rot z, Vel x, Vel y, Vel z, Acc x, Acc y, Acc z, Time(m.d.y h:m:s.ms)
0, 1.82333, 0.191141, 71.9507, -0.000976562, -0.00195312, -0.000976562, -0.03125, 0.283203, -9.74414, 1.18.2022 20:35:14.571
1, 1.82333, 0.191141, 71.9507, 0, -0.000976562, -0.000976562, -0.0742188, 0.300781, -9.74512, 1.18.2022 20:35:14.578
2, 1.82333, 0.191141, 71.9507, 0, 0, -0.000976562, 0.0175781, 0.291992, -9.7207, 1.18.2022 20:35:14.586
3, 1.82333, 0.191141, 71.9507, 0, 0, -0.000976562, -0.0712891, 0.34082, -9.72559, 1.18.2022 20:35:14.594
4, 1.82333, 0.191141, 71.9507, 0, -0.000976562, -0.00195312, -0.0615234, 0.307617, -9.73828, 1.18.2022 20:35:14.600
5, 1.82333, 0.191141, 71.9507, -0.000976562, -0.000976562, -0.000976562, -0.0283203, 0.307617, -9.75781, 1.18.2022 20:35:14.608
6, 1.82899, 0.195249, 71.9505, -0.000976562, 0, -0.000976562, -0.0683594, 0.347656, -9.72266, 1.18.2022 20:35:14.616
7, 1.82899, 0.195249, 71.9505, 0, -0.000976562, -0.000976562, -0.0146484, 0.324219, -9.76172, 1.18.2022 20:35:14.624
8, 1.82899, 0.195249, 71.9505, 0, 0, 0, -0.0136719, 0.321289, -9.73633, 1.18.2022 20:35:14.632
9, 1.82899, 0.195249, 71.9505, -0.000976562, 0, -0.000976562, -0.0595703, 0.310547, -9.76465, 1.18.2022 20:35:14.640
10, 1.82899, 0.195249, 71.9505, 0, 0, -0.000976562, 0.00488281, 0.317383, -9.76465, 1.18.2022 20:35:14.648
11, 1.82899, 0.195249, 71.9505, 0, 0.000976562, -0.000976562, -0.0878906, 0.333984, -9.73438, 1.18.2022 20:35:14.656
12, 1.82899, 0.195249, 71.9505, -0.000976562, -0.000976562, -0.000976562, -0.078125, 0.327148, -9.74707, 1.18.2022 20:35:14.664
13, 1.82899, 0.195249, 71.9505, -0.000976562, 0, -0.000976562, -0.015625, 0.298828, -9.70898, 1.18.2022 20:35:14.672
14, 1.82899, 0.195249, 71.9505, -0.000976562, -0.000976562, -0.000976562, -0.078125, 0.311523, -9.72363, 1.18.2022 20:35:14.680
15, 1.82925, 0.195305, 71.96, -0.000976562, -0.000976562, -0.000976562, -0.00976562, 0.300781, -9.76953, 1.18.2022 20:35:14.688
16, 1.82925, 0.195305, 71.96, -0.00195312, -0.000976562, -0.00195312, -0.00390625, 0.298828, -9.71094, 1.18.2022 20:35:14.696
17, 1.82925, 0.195305, 71.96, -0.000976562, -0.000976562, -0.000976562, -0.0859375, 0.348633, -9.75098, 1.18.2022 20:35:14.704
18, 1.83491, 0.199412, 71.9598, -0.000976562, -0.000976562, -0.000976562, 0.00976562, 0.319336, -9.76074, 1.18.2022 20:35:14.712
19, 1.83491, 0.199412, 71.9598, 0, -0.000976562, 0, -0.0332031, 0.314453, -9.74316, 1.18.2022 20:35:14.720
20, 1.83491, 0.199412, 71.9598, -0.000976562, 0, -0.000976562, -0.046875, 0.333008, -9.71191, 1.18.2022 20:35:14.728
21, 1.83491, 0.199412, 71.9598, 0, 0, -0.000976562, 0.00488281, 0.288086, -9.73047, 1.18.2022 20:35:14.736
22, 1.83491, 0.199412, 71.9598, 0, -0.000976562, -0.000976562, -0.106445, 0.335938, -9.73438, 1.18.2022 20:35:14.744
23, 1.83491, 0.199412, 71.9598, -0.000976562, 0, -0.000976562, -0.0380859, 0.324219, -9.73828, 1.18.2022 20:35:14.752
24, 1.83491, 0.199412, 71.9598, 0, 0, -0.00195312, -0.0146484, 0.295898, -9.74609, 1.18.2022 20:35:14.760
25, 1.8347, 0.19951, 71.9616, -0.000976562, 0, -0.00195312, -0.0742188, 0.310547, -9.75488, 1.18.2022 20:35:14.768
26, 1.8347, 0.19951, 71.9616, -0.000976562, 0, 0, 0.0078125, 0.285156, -9.7373, 1.18.2022 20:35:14.776
27, 1.8347, 0.19951, 71.9616, -0.000976562, 0, 0, -0.0332031, 0.307617, -9.75098, 1.18.2022 20:35:14.784
28, 1.84036, 0.203619, 71.9614, -0.000976562, -0.000976562, 0, -0.0644531, 0.3125, -9.7666, 1.18.2022 20:35:14.792
29, 1.84036, 0.203619, 71.9614, -0.000976562, 0, 0, 0.0166016, 0.295898, -9.75195, 1.18.2022 20:35:14.800
30, 1.84036, 0.203619, 71.9614, -0.000976562, -0.000976562, 0, -0.0732422, 0.321289, -9.70898, 1.18.2022 20:35:14.808
31, 1.84036, 0.203619, 71.9614, -0.000976562, 0, 0, -0.0253906, 0.316406, -9.72461, 1.18.2022 20:35:14.816
32, 1.84036, 0.203619, 71.9614, 0, 0, 0, 0.015625, 0.300781, -9.69727, 1.18.2022 20:35:14.824
33, 1.84036, 0.203619, 71.9614, 0, 0, 0, -0.0634766, 0.333008, -9.71387, 1.18.2022 20:35:14.832
34, 1.84036, 0.203619, 71.9614, -0.000976562, -0.00195312, -0.000976562, -0.00878906, 0.302734, -9.73438, 1.18.2022 20:35:14.840
35, 1.84036, 0.203619, 71.9614, -0.000976562, -0.000976562, 0.000976562, -0.0625, 0.295898, -9.76953, 1.18.2022 20:35:14.848
36, 1.84057, 0.20352, 71.9597, 0, -0.000976562, 0.000976562, -0.0625, 0.341797, -9.76562, 1.18.2022 20:35:14.856
37, 1.84057, 0.20352, 71.9597, 0, -0.000976562, 0, 0.0332031, 0.305664, -9.76562, 1.18.2022 20:35:14.864
38, 1.84057, 0.20352, 71.9597, 0, 0, 0.000976562, -0.0625, 0.306641, -9.78125, 1.18.2022 20:35:14.872
39, 1.84057, 0.20352, 71.9597, 0, 0.000976562, 0, -0.0429688, 0.314453, -9.75, 1.18.2022 20:35:14.880
40, 1.84057, 0.20352, 71.9597, -0.000976562, 0, 0, 0.00292969, 0.280273, -9.73047, 1.18.2022 20:35:14.888
41, 1.84057, 0.20352, 71.9597, 0, -0.000976562, 0, -0.0908203, 0.325195, -9.76074, 1.18.2022 20:35:14.896
42, 1.84057, 0.20352, 71.9597, -0.000976562, -0.000976562, 0, -0.0302734, 0.321289, -9.73633, 1.18.2022 20:35:14.904
43, 1.84057, 0.20352, 71.9597, -0.000976562, -0.000976562, -0.00195312, -0.0283203, 0.314453, -9.73145, 1.18.2022 20:35:14.912
44, 1.84057, 0.20352, 71.9597, -0.000976562, -0.000976562, -0.00195312, -0.0595703, 0.305664, -9.76172, 1.18.2022 20:35:14.920
45, 1.84057, 0.20352, 71.9597, 0, 0, 0, 0.0292969, 0.296875, -9.71387, 1.18.2022 20:35:14.928
46, 1.84057, 0.20352, 71.9597, -0.000976562, -0.000976562, 0.000976562, -0.0546875, 0.319336, -9.75488, 1.18.2022 20:35:14.936
47, 1.84057, 0.20352, 71.9597, 0, 0, 0, -0.0351562, 0.316406, -9.72168, 1.18.2022 20:35:14.944
48, 1.84057, 0.20352, 71.9597, 0, -0.000976562, 0, -0.00292969, 0.293945, -9.78906, 1.18.2022 20:35:14.952
49, 1.84057, 0.20352, 71.9597, -0.000976562, -0.000976562, 0, -0.0927734, 0.308594, -9.76855, 1.18.2022 20:35:14.960
50, 1.84057, 0.20352, 71.9597, 0, 0, 0, -0.0478516, 0.319336, -9.74316, 1.18.2022 20:35:14.968
51, 1.84057, 0.20352, 71.9597, -0.000976562, 0, 0.000976562, -0.00390625, 0.333008, -9.73633, 1.18.2022 20:35:14.976
