Seq, Rot x, Rot y, Rot z, Vel x, Vel y, Vel z, Acc x, Acc y, Acc z, Time(m.d.y h:m:s.ms)
0, 1.83132, 0.0867434, 88.6226, 0, -0.000976562, -0.00195312, -0.0576172, 0.329102, -9.75684, 1.18.2022 21:4:59.953
1, 1.83132, 0.0867434, 88.6226, -0.000976562, -0.00195312, 0, 0.03125, 0.306641, -9.72754, 1.18.2022 21:4:59.959
2, 1.82644, 0.0917474, 88.6226, -0.000976562, -0.00195312, 0, -0.0205078, 0.303711, -9.70117, 1.18.2022 21:4:59.967
3, 1.82644, 0.0917474, 88.6226, 0, -0.000976562, 0, -0.0664062, 0.30957, -9.74707, 1.18.2022 21:4:59.975
4, 1.82644, 0.0917474, 88.6226, 0, 0, 0, 0.0361328, 0.290039, -9.72363, 1.18.2022 21:4:59.983
5, 1.82644, 0.0917474, 88.6226, 0, 0, 0, -0.0566406, 0.308594, -9.7168, 1.18.2022 21:4:59.991
6, 1.82644, 0.0917474, 88.6226, -0.000976562, 0, 0, -0.0449219, 0.328125, -9.70996, 1.18.2022 21:4:59.999
7, 1.82644, 0.0917474, 88.6226, 0, 0, 0.000976562, 0.00390625, 0.302734, -9.66602, 1.18.2022 21:5:0.007
8, 1.82644, 0.0917474, 88.6226, -0.000976562, -0.000976562, 0, -0.0761719, 0.328125, -9.72363, 1.18.2022 21:5:0.015
9, 1.82644, 0.0917474, 88.6226, -0.000976562, -0.000976562, -0.00195312, 0.0078125, 0.319336, -9.74414, 1.18.2022 21:5:0.023
10, 1.82644, 0.0917474, 88.6226, -0.000976562, -0.000976562, 0, -0.00878906, 0.306641, -9.73438, 1.18.2022 21:5:0.031
11, 1.82667, 0.0916637, 88.6225, -0.000976562, 0, 0, -0.0634766, 0.326172, -9.72363, 1.18.2022 21:5:0.039
12, 1.82667, 0.0916637, 88.6225, -0.000976562, -0.000976562, 0, 0.0341797, 0.301758, -9.72559, 1.18.2022 21:5:0.047
13, 1.82644, 0.0915899, 88.6126, -0.000976562, -0.000976562, 0, -0.0322266, 0.298828, -9.70801, 1.18.2022 21:5:0.055
14, 1.82644, 0.0915899, 88.6126, -0.000976562, 0, 0, -0.0419922, 0.318359, -9.71973, 1.18.2022 21:5:0.063
15, 1.83132, 0.0865855, 88.6126, -0.000976562, 0, 0.000976562, 0.00976562, 0.293945, -9.76367, 1.18.2022 21:5:0.071
16, 1.83132, 0.0865855, 88.6126, -0.000976562, -0.000976562, 0.000976562, -0.0566406, 0.304688, -9.7168, 1.18.2022 21:5:0.079
17, 1.83156, 0.0865018, 88.6125, -0.000976562, -0.000976562, 0, 0.00292969, 0.337891, -9.72852, 1.18.2022 21:5:0.087
18, 1.82644, 0.0914324, 88.6026, 0, -0.000976562, 0, 0.00488281, 0.292969, -9.75879, 1.18.2022 21:5:0.095
19, 1.82644, 0.0914324, 88.6026, -0.000976562, 0, 0, -0.0429688, 0.328125, -9.7832, 1.18.2022 21:5:0.103
20, 1.83132, 0.0864275, 88.6026, -0.000976562, 0, 0, 0.0439453, 0.308594, -9.71582, 1.18.2022 21:5:0.111
21, 1.83132, 0.0864275, 88.6026, 0, -0.000976562, 0, -0.0185547, 0.304688, -9.74805, 1.18.2022 21:5:0.119
22, 1.83132, 0.0864275, 88.6026, 0, 0, 0, -0.0283203, 0.303711, -9.71289, 1.18.2022 21:5:0.127
23, 1.82644, 0.0914324, 88.6026, -0.000976562, -0.000976562, 0, 0.0078125, 0.299805, -9.7207, 1.18.2022 21:5:0.135
24, 1.82668, 0.0913487, 88.6025, -0.000976562, -0.000976562, 0, -0.0761719, 0.30957, -9.73828, 1.18.2022 21:5:0.143
25, 1.82668, 0.0913487, 88.6025, 0, -0.000976562, 0, -0.00683594, 0.317383, -9.75586, 1.18.2022 21:5:0.151
26, 1.82644, 0.0912749, 88.5926, 0, 0, 0, 0.00292969, 0.299805, -9.72559, 1.18.2022 21:5:0.159
27, 1.82644, 0.0912749, 88.5926, -0.000976562, 0, 0, -0.0712891, 0.300781, -9.75, 1.18.2022 21:5:0.167
28, 1.82644, 0.0912749, 88.5926, -0.000976562, 0, 0, 0.0175781, 0.30957, -9.73047, 1.18.2022 21:5:0.175
29, 1.83133, 0.0862696, 88.5926, -0.000976562, -0.000976562, -0.00195312, -0.0283203, 0.328125, -9.71973, 1.18.2022 21:5:0.183
30, 1.83133, 0.0862696, 88.5926, -0.00195312, -0.000976562, 0, -0.0371094, 0.313477, -9.69141, 1.18.2022 21:5:0.191
31, 1.83133, 0.0862696, 88.5926, -0.000976562, -0.000976562, 0, 0.0400391, 0.297852, -9.75684, 1.18.2022 21:5:0.199
32, 1.83133, 0.0862696, 88.5926, 0, 0, 0.000976562, -0.0595703, 0.319336, -9.74023, 1.18.2022 21:5:0.207
33, 1.83156, 0.0861859, 88.5925, 0, 0, 0.000976562, -0.0214844, 0.317383, -9.74316, 1.18.2022 21:5:0.215
34, 1.83133, 0.0861116, 88.5826, -0.000976562, -0.000976562, -0.000976562, 0.0380859, 0.289062, -9.77344, 1.18.2022 21:5:0.223
35, 1.82645, 0.0911173, 88.5826, 0, -0.000976562, -0.000976562, -0.0683594, 0.318359, -9.7168, 1.18.2022 21:5:0.231
36, 1.82645, 0.0911173, 88.5826, -0.000976562, 0, -0.00195312, 0.0341797, 0.328125, -9.72949, 1.18.2022 21:5:0.239
37, 1.83133, 0.0861116, 88.5826, 0, 0, -0.000976562, -0.00488281, 0.328125, -9.7832, 1.18.2022 21:5:0.247
38, 1.82645, 0.0911173, 88.5826, -0.000976562, -0.000976562, -0.000976562, -0.0234375, 0.295898, -9.74414, 1.18.2022 21:5:0.255
39, 1.83133, 0.0861116, 88.5826, -0.000976562, 0, -0.000976562, 0.0263672, 0.288086, -9.75684, 1.18.2022 21:5:0.263
40, 1.83133, 0.0861116, 88.5826, 0, 0, -0.000976562, -0.0517578, 0.296875, -9.71973, 1.18.2022 21:5:0.271
41, 1.83133, 0.0861116, 88.5826, -0.000976562, -0.000976562, -0.000976562, -0.0117188, 0.306641, -9.72266, 1.18.2022 21:5:0.279
42, 1.83133, 0.0861116, 88.5826, -0.000976562, -0.000976562, -0.000976562, 0.0332031, 0.27832, -9.74316, 1.18.2022 21:5:0.287
43, 1.83157, 0.086028, 88.5825, -0.000976562, -0.000976562, -0.000976562, -0.0546875, 0.326172, -9.7334, 1.18.2022 21:5:0.295
44, 1.83157, 0.086028, 88.5825, 0, 0, -0.000976562, 0.0078125, 0.318359, -9.72754, 1.18.2022 21:5:0.303
45, 1.83157, 0.086028, 88.5825, 0, 0, -0.000976562, -0.00195312, 0.307617, -9.75586, 1.18.2022 21:5:0.311
46, 1.82668, 0.0910337, 88.5825, 0.000976562, -0.000976562, -0.00195312, -0.0761719, 0.317383, -9.74512, 1.18.2022 21:5:0.319
47, 1.82668, 0.0910337, 88.5825, -0.000976562, -0.000976562, -0.00195312, 0.0380859, 0.280273, -9.73633, 1.18.2022 21:5:0.327
48, 1.82668, 0.0910337, 88.5825, 0, 0, -0.000976562, -0.0361328, 0.300781, -9.76758, 1.18.2022 21:5:0.335
49, 1.82645, 0.0909598, 88.5726, 0, -0.000976562, -0.000976562, -0.0722656, 0.351562, -9.77734, 1.18.2022 21:5:0.343
50, 1.82645, 0.0909598, 88.5726, -0.000976562, -0.00195312, -0.000976562, 0.00976562, 0.303711, -9.77051, 1.18.2022 21:5:0.351
51, 1.82645, 0.0909598, 88.5726, 0, -0.00195312, -0.000976562, -0.0595703, 0.297852, -9.74805, 1.18.2022 21:5:0.359
52, 1.82645, 0.0909598, 88.5726, -0.000976562, -0.00195312, -0.00195312, 0.0146484, 0.328125, -9.73145, 1.18.2022 21:5:0.367
53, 1.82645, 0.0909598, 88.5726, -0.000976562, -0.000976562, -0.000976562, 0.0175781, 0.306641, -9.72754, 1.18.2022 21:5:0.375
54, 1.82645, 0.0909598, 88.5726, -0.000976562, -0.000976562, -0.000976562, -0.0732422, 0.313477, -9.7168, 1.18.2022 21:5:0.383
55, 1.82645, 0.0909598, 88.5726, 0, -0.000976562, -0.000976562, 0.0410156, 0.295898, -9.75391, 1.18.2022 21:5:0.391
56, 1.82645, 0.0909598, 88.5726, -0.000976562, -0.000976562, 0.000976562, -0.015625, 0.296875, -9.70605, 1.18.2022 21:5:0.399
57, 1.82645, 0.0909598, 88.5726, -0.000976562, 0, -0.000976562, -0.0322266, 0.323242, -9.71191, 1.18.2022 21:5:0.407
58, 1.82668, 0.0910337, 88.5825, -0.000976562, -0.000976562, -0.000976562, 0.0478516, 0.321289, -9.74707, 1.18.2022 21:5:0.415
59, 1.82668, 0.0910337, 88.5825, -0.000976562, 0, -0.000976562, -0.0761719, 0.3125, -9.74707, 1.18.2022 21:5:0.423
60, 1.82668, 0.0910337, 88.5825, 0, 0.000976562, -0.000976562, -0.00976562, 0.330078, -9.76953, 1.18.2022 21:5:0.431
61, 1.82668, 0.0910337, 88.5825, -0.000976562, 0, -0.000976562, 0, 0.317383, -9.75293, 1.18.2022 21:5:0.439
62, 1.82645, 0.0911173, 88.5826, -0.000976562, -0.000976562, -0.000976562, -0.0585938, 0.30957, -9.71973, 1.18.2022 21:5:0.447
63, 1.82645, 0.0911173, 88.5826, 0, -0.000976562, 0.000976562, 0.00976562, 0.3125, -9.74902, 1.18.2022 21:5:0.455
64, 1.82645, 0.0911173, 88.5826, 0, -0.000976562, 0, -0.00195312, 0.318359, -9.71484, 1.18.2022 21:5:0.463
65, 1.82645, 0.0911173, 88.5826, 0, -0.000976562, 0, -0.0693359, 0.325195, -9.76367, 1.18.2022 21:5:0.471
66, 1.82645, 0.0911173, 88.5826, 0, -0.000976562, 0, 0.0478516, 0.292969, -9.73145, 1.18.2022 21:5:0.479
