Seq, Rot x, Rot y, Rot z, Vel x, Vel y, Vel z, Acc x, Acc y, Acc z, Time(m.d.y h:m:s.ms)
0, 2.17991, 359.574, 172.357, 0, 0.000976562, 0, 0.0556641, 0.375977, -9.72852, 1.25.2022 18:33:1.236
1, 2.17986, 359.574, 172.35, 0, 0, 0, 0.0537109, 0.387695, -9.70996, 1.25.2022 18:33:1.240
2, 2.17939, 359.567, 172.35, 0, 0, 0, 0.0917969, 0.366211, -9.71777, 1.25.2022 18:33:1.246
3, 2.17939, 359.567, 172.35, 0, -0.000976562, 0, 0.0400391, 0.367188, -9.66699, 1.25.2022 18:33:1.254
4, 2.17939, 359.567, 172.35, 0, 0, -0.000976562, 0.0986328, 0.385742, -9.71777, 1.25.2022 18:33:1.262
5, 2.17939, 359.567, 172.35, 0.000976562, -0.000976562, -0.000976562, 0.0917969, 0.358398, -9.70898, 1.25.2022 18:33:1.270
6, 2.17939, 359.567, 172.35, -0.000976562, 0, -0.000976562, 0.0556641, 0.363281, -9.68945, 1.25.2022 18:33:1.278
7, 2.17939, 359.567, 172.35, -0.000976562, -0.000976562, -0.000976562, 0.100586, 0.355469, -9.75391, 1.25.2022 18:33:1.286
8, 2.17939, 359.567, 172.35, 0, -0.000976562, 0, 0.0576172, 0.385742, -9.7168, 1.25.2022 18:33:1.294
9, 2.17939, 359.567, 172.35, 0, 0, -0.000976562, 0.0673828, 0.392578, -9.71875, 1.25.2022 18:33:1.302
10, 2.17939, 359.567, 172.35, 0, -0.000976562, -0.000976562, 0.102539, 0.371094, -9.73633, 1.25.2022 18:33:1.310
11, 2.17893, 359.56, 172.35, 0, -0.000976562, -0.000976562, -0.0166016, 0.390625, -9.74414, 1.25.2022 18:33:1.318
12, 2.17893, 359.56, 172.35, 0.000976562, -0.000976562, -0.00195312, 0.105469, 0.364258, -9.72754, 1.25.2022 18:33:1.326
13, 2.17898, 359.56, 172.357, 0, -0.000976562, -0.00195312, 0.0820312, 0.363281, -9.71094, 1.25.2022 18:33:1.334
14, 2.17944, 359.567, 172.357, 0, -0.000976562, -0.000976562, 0.0341797, 0.375, -9.69727, 1.25.2022 18:33:1.342
15, 2.17944, 359.567, 172.357, 0.000976562, -0.00195312, -0.000976562, 0.141602, 0.353516, -9.70508, 1.25.2022 18:33:1.350
16, 2.17944, 359.567, 172.357, 0.000976562, 0, -0.000976562, 0.0556641, 0.375, -9.69336, 1.25.2022 18:33:1.358
17, 2.17944, 359.567, 172.357, 0.000976562, -0.000976562, -0.00195312, 0.0771484, 0.392578, -9.71191, 1.25.2022 18:33:1.366
18, 2.17944, 359.567, 172.357, 0.000976562, -0.000976562, -0.00195312, 0.0556641, 0.358398, -9.68652, 1.25.2022 18:33:1.374
19, 2.17944, 359.567, 172.357, 0, -0.00195312, -0.000976562, 0.00976562, 0.364258, -9.72363, 1.25.2022 18:33:1.382
20, 2.17944, 359.567, 172.357, 0.000976562, -0.000976562, -0.000976562, 0.0888672, 0.37793, -9.72461, 1.25.2022 18:33:1.390
21, 2.17944, 359.567, 172.357, 0.000976562, -0.000976562, -0.000976562, 0.0537109, 0.368164, -9.70312, 1.25.2022 18:33:1.398
22, 2.17944, 359.567, 172.357, 0, -0.000976562, -0.000976562, 0.0634766, 0.382812, -9.7002, 1.25.2022 18:33:1.406
23, 2.17944, 359.567, 172.357, 0, -0.000976562, -0.000976562, 0.103516, 0.356445, -9.69922, 1.25.2022 18:33:1.414
24, 2.17944, 359.567, 172.357, 0, -0.000976562, 0, 0.0253906, 0.351562, -9.69629, 1.25.2022 18:33:1.422
25, 2.17944, 359.567, 172.357, 0, -0.000976562, 0, 0.0419922, 0.370117, -9.69336, 1.25.2022 18:33:1.430
26, 2.17991, 359.574, 172.357, 0, -0.000976562, -0.000976562, 0.0839844, 0.356445, -9.71582, 1.25.2022 18:33:1.438
27, 2.17991, 359.574, 172.357, 0, -0.000976562, -0.000976562, 0.0175781, 0.383789, -9.73535, 1.25.2022 18:33:1.446
28, 2.17991, 359.574, 172.357, 0, 0, -0.000976562, 0.120117, 0.368164, -9.71387, 1.25.2022 18:33:1.454
29, 2.17991, 359.574, 172.357, -0.000976562, 0, -0.000976562, 0.0742188, 0.364258, -9.73438, 1.25.2022 18:33:1.462
30, 2.17991, 359.574, 172.357, 0, -0.000976562, -0.00195312, 0.0556641, 0.366211, -9.72168, 1.25.2022 18:33:1.470
31, 2.17991, 359.574, 172.357, 0, -0.000976562, -0.000976562, 0.117188, 0.347656, -9.74023, 1.25.2022 18:33:1.478
32, 2.17991, 359.574, 172.357, 0, -0.000976562, -0.000976562, 0.03125, 0.362305, -9.72852, 1.25.2022 18:33:1.486
