Seq, Rot x, Rot y, Rot z, Vel x, Vel y, Vel z, Acc x, Acc y, Acc z, Time(m.d.y h:m:s.ms)
0, 1.81997, 359.531, 195.26, -0.000976562, 0, -0.000976562, 0.115234, 0.291992, -9.70605, 1.25.2022 18:37:31.049
1, 1.81904, 359.538, 195.26, -0.000976562, 0, -0.000976562, 0.0292969, 0.326172, -9.72461, 1.25.2022 18:37:31.055
2, 1.81904, 359.538, 195.26, 0, 0, 0, 0.0888672, 0.337891, -9.72559, 1.25.2022 18:37:31.063
3, 1.81904, 359.538, 195.26, -0.000976562, -0.000976562, -0.000976562, 0.0693359, 0.30957, -9.73535, 1.25.2022 18:37:31.071
4, 1.81904, 359.538, 195.26, -0.000976562, -0.000976562, 0, 0.0439453, 0.3125, -9.69531, 1.25.2022 18:37:31.079
5, 1.81904, 359.538, 195.26, -0.000976562, -0.000976562, -0.000976562, 0.112305, 0.291992, -9.71289, 1.25.2022 18:37:31.087
6, 1.81904, 359.538, 195.26, 0, -0.000976562, -0.000976562, 0.0732422, 0.322266, -9.68066, 1.25.2022 18:37:31.095
7, 1.81904, 359.538, 195.26, -0.00195312, -0.000976562, -0.000976562, 0.0566406, 0.319336, -9.67578, 1.25.2022 18:37:31.103
8, 1.81904, 359.538, 195.26, -0.000976562, -0.000976562, -0.00195312, 0.135742, 0.321289, -9.74316, 1.25.2022 18:37:31.111
9, 1.81904, 359.538, 195.26, -0.000976562, -0.000976562, -0.000976562, 0.0410156, 0.326172, -9.7373, 1.25.2022 18:37:31.119
10, 1.81811, 359.545, 195.26, -0.000976562, -0.000976562, -0.000976562, 0.0839844, 0.303711, -9.71484, 1.25.2022 18:37:31.127
11, 1.82504, 359.546, 195.26, -0.000976562, -0.000976562, -0.000976562, 0.103516, 0.291992, -9.72266, 1.25.2022 18:37:31.135
12, 1.82504, 359.546, 195.26, 0, -0.000976562, -0.000976562, 0.0644531, 0.308594, -9.72363, 1.25.2022 18:37:31.143
13, 1.82504, 359.546, 195.26, 0, -0.000976562, -0.000976562, 0.09375, 0.287109, -9.71289, 1.25.2022 18:37:31.151
14, 1.82504, 359.546, 195.26, 0, -0.000976562, -0.000976562, 0.0625, 0.314453, -9.74707, 1.25.2022 18:37:31.159
15, 1.82504, 359.546, 195.26, -0.000976562, -0.00195312, -0.000976562, 0.0595703, 0.327148, -9.76074, 1.25.2022 18:37:31.167
16, 1.82504, 359.546, 195.26, 0, 0, 0.000976562, 0.130859, 0.28125, -9.75586, 1.25.2022 18:37:31.175
17, 1.82504, 359.546, 195.26, 0, 0, -0.000976562, 0.0478516, 0.333984, -9.75391, 1.25.2022 18:37:31.183
18, 1.82504, 359.546, 195.26, -0.000976562, -0.000976562, -0.000976562, 0.0771484, 0.285156, -9.72656, 1.25.2022 18:37:31.191
19, 1.82504, 359.546, 195.26, -0.000976562, -0.000976562, -0.000976562, 0.0791016, 0.321289, -9.72363, 1.25.2022 18:37:31.199
20, 1.82504, 359.546, 195.26, -0.000976562, -0.000976562, 0.000976562, 0.0458984, 0.330078, -9.7207, 1.25.2022 18:37:31.207
21, 1.82504, 359.546, 195.26, 0, -0.000976562, 0.000976562, 0.131836, 0.298828, -9.71094, 1.25.2022 18:37:31.215
22, 1.82504, 359.546, 195.26, 0, -0.000976562, -0.000976562, 0.0888672, 0.286133, -9.69629, 1.25.2022 18:37:31.223
23, 1.82504, 359.546, 195.26, -0.000976562, 0, -0.000976562, 0.0458984, 0.318359, -9.69922, 1.25.2022 18:37:31.231
24, 1.82504, 359.546, 195.26, -0.000976562, -0.000976562, 0.000976562, 0.145508, 0.307617, -9.75781, 1.25.2022 18:37:31.239
25, 1.82504, 359.546, 195.26, -0.000976562, 0, -0.000976562, 0.0527344, 0.331055, -9.75391, 1.25.2022 18:37:31.247
26, 1.82504, 359.546, 195.26, 0, -0.00195312, -0.000976562, 0.100586, 0.310547, -9.70801, 1.25.2022 18:37:31.255
27, 1.82504, 359.546, 195.26, 0, 0, -0.000976562, 0.0849609, 0.300781, -9.68848, 1.25.2022 18:37:31.263
28, 1.82504, 359.546, 195.26, -0.000976562, -0.000976562, -0.000976562, 0.0341797, 0.321289, -9.73438, 1.25.2022 18:37:31.271
29, 1.82504, 359.546, 195.26, -0.000976562, -0.000976562, -0.000976562, 0.135742, 0.27832, -9.74023, 1.25.2022 18:37:31.279
30, 1.82504, 359.546, 195.26, -0.000976562, -0.000976562, -0.000976562, 0.0839844, 0.303711, -9.70312, 1.25.2022 18:37:31.287
31, 1.82504, 359.546, 195.26, -0.000976562, -0.000976562, 0.000976562, 0.0507812, 0.298828, -9.68848, 1.25.2022 18:37:31.295
32, 1.81813, 359.545, 195.252, -0.000976562, -0.000976562, -0.000976562, 0.12207, 0.267578, -9.69727, 1.25.2022 18:37:31.303
33, 1.81813, 359.545, 195.252, -0.000976562, -0.000976562, 0.000976562, 0.0576172, 0.328125, -9.71875, 1.25.2022 18:37:31.311
